cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.30.67.012b-1,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.40.11.074a-2,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,D.50.12.023b-1,collapse-0,excessiveRID-0,excessiveRID-1,irreparable-0,irreparable-1
20,3760.128,663.552,0.0,0.0,368.64,847.8720000000001,3207.168,0.0,345.6000000000001,2419.2000000000007,6451.200000000002,0.0,8524.800000000001,691.2,0.0,0.0,5805.9,322.55,322.55,1554.4729657928897,3210.492754289942,2254.8281927559574,0.0,721.1907577239365,1658.6107603612347,2136.653378848002,502.5060866338465,2.0,6.0,4.0,0.0,0.0,1.0,1646.5346743327316,0.0,0.0,254.57058476691532,0.0,3374.145300428817,0.0,0.0,540.3557223786795,0.0,0.0,0.0,1.0,1670.1681299209972,280.82125422459967,0.0,143.7696,3.6864,16.0,0.0,2.0,0.0,0.0,1.0,0.0,21070.808012059366,703.8413628600599,0.0,208.58783963237914,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
21,4091.9040000000005,331.776,0.0,0.0,1253.376,700.416,2469.888,0.0,2073.6000000000004,1958.4000000000005,5184.000000000001,0.0,8524.800000000001,691.2,0.0,0.0,6451.0,0.0,0.0,2745.8935170544873,1753.6338102906293,1298.0284283617475,0.0,1092.6551836180697,2244.6495265167223,1897.7878994908604,456.70502832541223,4.0,8.0,0.0,0.0,0.0,1.0,2307.284988380282,0.0,0.0,202.62772150080266,0.0,5801.119393928571,0.0,0.0,545.0769960214743,0.0,0.0,0.0,1.0,2648.701220430313,0.0,0.0,130.8672,16.5888,12.0,4.0,2.0,0.0,0.0,1.0,0.0,15790.600668356303,756.8281498547251,0.0,198.622096832921,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
22,3317.76,811.008,258.048,36.864000000000004,700.416,479.232,2912.2560000000003,331.776,1612.8000000000004,921.6000000000003,5760.000000000001,921.6000000000003,7603.200000000001,806.4000000000001,806.4000000000001,0.0,0.0,645.1,5805.9,2748.362290875336,1452.1680206991375,2321.486696742716,387.00110419179435,861.5024130654253,1644.9104924036963,2963.1841576611114,859.6849848355522,2.0,6.0,4.0,0.0,0.0,1.0,1307.8786710429167,545.0371948514837,108.02716025879836,332.36761422446875,0.0,3014.604563553037,1131.7584156587054,163.1567955363865,457.1624497915112,0.0,276.68338081484796,0.0,1.0,352.0288936701828,815.3270705038403,526.5921509845795,33.1776,114.2784,8.0,8.0,2.0,0.0,0.0,1.0,0.0,4070.078424967162,13394.260331082594,8818.665712202157,220.74912916515333,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
23,3944.4480000000003,479.232,0.0,0.0,1437.6960000000001,1105.92,1769.4720000000002,110.592,2880.0000000000005,2188.8,4147.200000000001,0.0,7948.800000000001,1267.2000000000003,0.0,0.0,2580.4,967.65,2902.95,2650.9486441146264,704.2924588928347,1203.238807364477,355.1294701487054,1137.15079553735,2381.6259283600493,1862.7824571778153,338.577389873396,2.0,8.0,2.0,0.0,1.0,0.0,1347.1912414471478,102.84592687502594,0.0,130.64321525802677,133.5588082142308,4136.828631155848,282.7793203070792,80.8135566317541,569.1796003083705,195.3148074772071,0.0,0.0,1.0,1517.1122004140755,306.37890684080503,0.0,116.1216,31.3344,8.0,8.0,2.0,0.0,0.0,1.0,0.0,17433.40491193467,9580.120621660837,1046.26773591777,230.25243181116016,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
24,4386.816000000001,36.864000000000004,0.0,0.0,2027.52,1363.968,1032.192,0.0,4147.200000000001,2649.600000000001,2419.2000000000007,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4528.791736682887,1584.7393761703938,228.9645815250649,0.0,2506.630992093366,3260.0669806708834,128.55869471654458,256.4541315120516,8.0,4.0,0.0,0.0,1.0,0.0,2760.1718644813213,0.0,0.0,359.89263848123085,0.0,4372.0744063181255,0.0,0.0,732.6768746085482,0.0,0.0,1.0,0.0,1965.5605917974938,152.91452181766707,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,0.0,13847.725817114964,0.0,0.0,274.4034720111471,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
25,4349.952,73.72800000000001,0.0,0.0,1695.7440000000001,1437.6960000000001,1290.24,0.0,4032.000000000001,3225.600000000001,1958.4000000000003,0.0,9100.800000000001,115.20000000000002,0.0,0.0,6451.0,0.0,0.0,4575.783100969177,881.7322705627951,144.37412795967765,0.0,2937.2870347716,3265.5129599189004,696.2338616931496,113.72022654499254,2.0,10.0,0.0,0.0,1.0,0.0,1659.6796429973883,0.0,0.0,274.7596043794317,0.0,3595.2737353902207,0.0,0.0,511.80962631705313,0.0,0.0,1.0,0.0,1742.1528323717287,0.0,0.0,147.456,0.0,12.0,4.0,2.0,0.0,0.0,1.0,0.0,22749.825115413143,178.72356423246453,0.0,200.18777235967877,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
26,4423.68,0.0,0.0,0.0,1695.7440000000001,1769.4720000000002,958.4639999999999,0.0,4608.000000000001,2995.2000000000007,1612.8000000000004,0.0,9100.800000000001,115.20000000000002,0.0,0.0,6128.450000000001,322.55,0.0,4203.692668107493,1023.1780500428374,0.0,0.0,2080.119879543492,3216.6058698921374,380.50668075032945,0.0,10.0,2.0,0.0,0.0,1.0,0.0,1753.040942533136,0.0,0.0,335.5479434039959,0.0,4226.3345754753855,0.0,0.0,568.748917969638,0.0,0.0,0.0,1.0,2440.983434751952,0.0,0.0,145.6128,1.8432,12.0,4.0,2.0,0.0,0.0,1.0,0.0,21744.893771471983,0.0,0.0,221.86477805881037,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
27,2617.344,921.6,774.144,110.59200000000001,479.23199999999997,995.3280000000001,1806.336,1142.784,1036.8000000000002,1843.2000000000003,4147.200000000001,2188.8000000000006,5299.200000000001,2188.8,1267.2000000000003,460.80000000000007,1290.2,2902.95,2257.85,3231.861978319939,1596.2938168929757,1478.9398455195915,1660.4442350197683,630.628619328907,955.2500274697742,2709.718456961129,648.8101567838864,2.0,4.0,6.0,0.0,0.0,1.0,1528.7841934299183,397.95279029649873,28.47446458189385,142.61701973385928,158.18930330256507,2559.6659627987137,664.2563993880804,0.0,257.3595963048152,181.33490074920707,227.9925514580702,0.0,1.0,703.3828812587041,1083.3172506570877,0.0,64.512,82.944,8.0,8.0,2.0,0.0,0.0,1.0,0.0,10990.555751413001,8309.606609159084,3538.2431359219117,265.7565775049118,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
28,4386.816000000001,36.864000000000004,0.0,0.0,1511.424,1327.104,1585.152,0.0,2995.2000000000007,3110.4000000000005,3110.4000000000005,0.0,8870.400000000001,345.6,0.0,0.0,6128.450000000001,322.55,0.0,3269.3553471040536,1909.1359845037302,392.3713963548911,0.0,851.5122283833985,3022.340843032104,1640.0451412537177,309.04426588321206,6.0,6.0,0.0,0.0,0.0,1.0,1622.7480013798647,0.0,0.0,192.63784099882517,0.0,3643.9926739793373,0.0,0.0,694.0621544384644,0.0,0.0,0.0,1.0,2318.6852230239674,0.0,0.0,143.7696,3.6864,16.0,0.0,2.0,0.0,0.0,1.0,0.0,21605.336895078282,746.4758445772766,0.0,228.8129360020946,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
29,2691.072,1511.424,184.32,36.864000000000004,405.504,626.688,3133.44,258.048,345.6000000000001,1612.8000000000004,6796.800000000001,460.8000000000001,4723.200000000001,4377.6,115.20000000000002,0.0,0.0,322.55,6128.450000000001,932.2201701771228,657.3258248292842,2611.270628995746,1952.5166539452705,427.0957386994444,840.5718639561296,3986.6288685257337,813.320618495659,0.0,4.0,2.0,6.0,0.0,1.0,999.9190821082971,930.0704671477731,171.88859946249687,0.0,303.3890178897769,2021.9874941304183,2253.3034510053276,326.0643917451349,64.44659432421689,0.0,515.3766192907703,0.0,1.0,284.8766187414365,479.70898577890205,941.5886071030149,22.1184,125.33760000000001,8.0,8.0,2.0,0.0,0.0,1.0,0.0,1944.2128385108822,8026.625387206917,6687.824908717543,155.7089823967919,97.48252874632092,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
