dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a
10,0.0,26080.460346428892,44590.97935927198,0.0,0.0,5235.407843222629,35222.936770142136,11908.740437517801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.16889495618126,29.37614499813358,0.0,0.0,5.094009416232835,34.64331889662196,4.880380679591199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,12525.61068345835,14961.319612592368,0.0,0.0,0.0,15282.289989839446,12969.933367422787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3452457972423515,8.400934024055946,0.0,0.0,0.0,10.310256452043781,11.8222632113274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,33313.27884325833,57760.63490592085,0.0,0.0,17765.837229358374,118537.26966725432,9031.466210443685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.5847020461804,8198.052253146345,0.0,325.1165884013178,0.0,0.0,0.0,36.4401498878844,35.907548653131386,0.0,0.0,14.93472672446681,97.5282995832774,8.47096955671957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7044341799490834,13.960597673248053,0.0,0.5341398036422498,0.0,0.0
13,0.0,38808.99294617335,57063.095679024234,0.0,0.0,20234.627802141273,110846.56975057595,3637.8504176993492,0.0,0.0,0.0,0.0,0.0,46308.56944681004,0.0,602.670161904775,9505.156366272256,0.0,70.11804686477109,0.0,0.0,0.0,42.58755134951298,55.94210480153418,0.0,0.0,9.723984981501566,55.09144379857861,4.596964477377658,0.0,0.0,0.0,0.0,0.0,14.167035325703035,0.0,0.7935780730881712,9.42794125145124,0.0,0.14633049363002323,0.0,0.0
14,0.0,18057.923169951966,18575.294951471442,0.0,0.0,0.0,21478.093170716507,5359.3285560669465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.1937486694196,0.0,0.0,0.0,0.0,0.0,0.0,28.70821838761595,16.470495740417373,0.0,0.0,0.0,15.676020492068147,11.165644202593963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9123347370716173,0.0,0.0,0.0,0.0,0.0
15,0.0,51372.15172021855,67470.30216840735,7889.938922156687,61484.834745447406,52730.07998026814,146076.05658069134,15250.338096106647,0.0,49.79700560388208,70.31602265358346,227.80948816949262,173.26197649175498,45537.02375809856,340.5310918628133,11893.551843798003,20455.70550854763,0.0,2267.9671979883447,0.0,0.0,0.0,82.08076585103402,65.99388424108206,6.081691423709326,70.66962109917957,26.150716141894456,89.90362986670628,6.619076925604707,0.0,0.07457667415480017,0.11332380135882053,0.3046333623707278,0.6522425620704874,11.948608777726454,0.20954903901906963,15.641859453241727,31.77380301547577,0.0,1.9517714466430145,0.0,0.0
16,0.0,41262.62408343917,66724.63098819443,0.0,0.0,14772.286765621368,98385.39679755119,8198.021428638607,593.4581575839443,0.0,33.486801615389,0.0,0.0,43396.181040987954,0.0,0.0,10615.073310241902,0.0,0.0,0.0,0.0,0.0,47.77707119052666,51.71923915451107,0.0,0.0,16.43465869863992,78.69683541184511,3.5525731453901934,1.5067744334857422,0.0,0.0660159288528537,0.0,0.0,20.32160414812692,0.0,0.0,19.336574521924387,0.0,0.0,0.0,0.0
17,16332.425876782521,77675.9839276376,126481.51901395776,83034.38842988445,0.0,107188.12305616333,162818.24523539384,127904.82584932719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1475.3383032560405,21193.14437137352,0.0,579.8883529482202,0.0,0.0,17.23133328905485,98.47190808551801,110.28118794390002,42.42199519560408,0.0,67.1144070613658,111.53744437317943,96.84063009985505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7971078786425907,28.547327641942317,0.0,0.12973121909058424,0.0,0.0
18,0.0,62685.12758750923,87756.8474768223,7991.382304376824,60675.57392823852,32288.563935515045,60057.640019623075,12642.795066956058,0.0,7.603388791922376,0.0,66.53206075547547,90.4066705353194,57868.35161517103,2421.685480122975,6618.919538522738,17939.142083202685,0.0,3778.6152062691317,0.0,0.0,0.0,53.280451896389636,77.11731665852425,3.276219704931004,36.79852626277035,29.970137522122712,75.08591982015864,11.998552101851088,0.0,0.010006912555373799,0.0,0.11057954816428851,0.06087082043095423,5.4668292557922555,1.2152095949009543,5.82807892415248,25.265002852855943,0.0,2.1329428652256954,0.0,0.0
19,10555.030960573611,58828.51505918146,87235.66465036891,45124.42383284263,0.0,126110.92652473327,168046.64958075326,24119.44688271366,0.0,0.0,0.0,0.0,0.0,0.0,395.3005781021001,516.9306380433133,10098.15431168977,0.0,0.0,0.0,0.0,13.328015705956213,74.06686583443303,98.23604356949487,24.952177184752255,0.0,91.31932341095485,143.73851829075468,28.597818000094637,0.0,0.0,0.0,0.0,0.0,0.0,0.7331109974425856,0.8510938454549775,12.066797617410813,0.0,0.0,0.0,0.0
