cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,collapse-0,excessiveRID-0,irreparable-0
4834,4423.68,0.0,0.0,0.0,2506.752,1806.3360000000002,110.59200000000001,0.0,5644.800000000001,3110.4000000000005,460.8000000000001,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4989.707200756805,212.68048060776235,0.0,0.0,2947.176523493963,2697.497305176575,339.0374584708876,0.0,8.0,4.0,0.0,0.0,1.0,0.0,1533.1291985869557,0.0,0.0,172.85304645159303,0.0,5210.51866930486,0.0,0.0,548.4397255327166,0.0,0.0,0.0,1.0,2039.3262703775426,182.81379218435936,0.0,145.6128,1.8432,8.0,8.0,2.0,0.0,0.0,1.0,30251.950681157337,255.13733839589742,0.0,279.83361466769605,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4835,4423.68,0.0,0.0,0.0,2838.5280000000002,1290.24,294.912,0.0,6451.200000000002,2419.2000000000003,345.6000000000001,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4884.415801242121,660.7969736448866,0.0,0.0,3184.4968870154426,2469.899889782193,167.28158876571837,57.52017273157641,10.0,2.0,0.0,0.0,1.0,0.0,2929.3566815165414,0.0,0.0,349.2227743249488,0.0,4482.231728055673,0.0,0.0,350.0840048186916,0.0,0.0,1.0,0.0,2312.5896725487,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,38353.33833543484,0.0,0.0,203.62046311873593,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4836,4386.816000000001,36.864000000000004,0.0,0.0,2322.432,1069.056,1032.192,0.0,4147.200000000001,2764.8000000000006,2304.000000000001,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,3598.7417936433258,2055.3426072333145,109.6415732893928,0.0,2546.4678238769834,3123.9170351989305,458.0441065524092,88.57192652689747,12.0,0.0,0.0,0.0,1.0,0.0,1690.2712816639782,0.0,0.0,387.35997931664224,0.0,4599.435222469787,0.0,0.0,484.6530798764928,0.0,0.0,1.0,0.0,2047.5800377828912,0.0,0.0,143.7696,3.6864,8.0,8.0,2.0,0.0,0.0,1.0,18450.45679207748,418.7589095265774,0.0,206.33528778191965,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4837,4423.68,0.0,0.0,0.0,2543.616,1290.24,589.8240000000001,0.0,4838.4000000000015,3340.800000000001,1036.8000000000002,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,5480.84827255252,770.0659080651894,0.0,0.0,4540.473023455792,1937.6371265962325,124.23693129708442,0.0,10.0,2.0,0.0,0.0,1.0,0.0,2124.409422249166,0.0,0.0,246.62996783094837,0.0,3557.305261956296,0.0,0.0,703.8378684597628,0.0,0.0,1.0,0.0,2221.2155705183914,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,20954.59247937377,0.0,0.0,221.91801483396898,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4838,4423.68,0.0,0.0,0.0,3022.848,1363.968,36.864000000000004,0.0,6336.000000000002,2534.4000000000005,345.60000000000014,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,5224.46598413341,285.33665071642224,0.0,0.0,3783.6301840163487,2714.933967891891,60.28211961165823,0.0,10.0,2.0,0.0,0.0,1.0,0.0,3274.4828554770365,0.0,0.0,251.41448767275898,0.0,3192.197341271864,0.0,0.0,596.6060439545763,0.0,0.0,1.0,0.0,1880.925971737725,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,25356.202254930155,0.0,0.0,233.2323593558721,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4839,4423.68,0.0,0.0,0.0,3649.536,774.144,0.0,0.0,7372.800000000002,1843.2000000000007,0.0,0.0,9216.000000000002,0.0,0.0,0.0,6128.450000000001,322.55,0.0,5602.2153783583835,110.2401703817152,0.0,0.0,5888.318691935368,1954.1361351347596,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,2174.0307034245707,0.0,0.0,354.1409008562625,0.0,4108.931779438417,0.0,0.0,673.3599775016772,0.0,0.0,1.0,0.0,1973.6437434868972,250.1046689190734,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,22860.140950345194,507.00408301708455,0.0,306.6197532425106,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4840,4423.68,0.0,0.0,0.0,3317.76,1069.056,36.864000000000004,0.0,7372.800000000001,1612.8000000000004,230.40000000000006,0.0,9216.000000000002,0.0,0.0,0.0,5160.8,967.65,322.55,5487.149605369151,74.73272647765667,0.0,0.0,3097.3767741796273,2056.16533792826,0.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,1228.1010291329774,38.34870575425211,0.0,117.98451097707013,121.83760182559861,6810.888663274167,41.35325917672969,0.0,549.2657502585294,59.02219472787511,0.0,0.0,1.0,1698.274890604731,253.84043231064487,0.0,119.80799999999999,27.648,16.0,0.0,0.0,2.0,0.0,1.0,18073.72996424266,1031.5110082246083,610.976944265018,211.7178098905844,0.0,0.0,1.0,2.0,1.0,2.0,1.0
4841,4423.68,0.0,0.0,0.0,3133.44,552.96,737.28,0.0,5760.000000000002,2073.6000000000004,1382.4000000000005,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4136.212977195843,938.3034513068884,0.0,0.0,4152.98090506264,2105.8991063173025,247.68206456270514,123.84103228135257,10.0,2.0,0.0,0.0,1.0,0.0,2241.4083982687503,0.0,0.0,198.58548157502787,90.5768615361294,3840.1678302178643,0.0,0.0,823.1327726988966,0.0,0.0,1.0,0.0,2271.853571734966,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,26203.34619254847,0.0,0.0,297.76867237181744,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4842,4423.68,0.0,0.0,0.0,3280.896,995.3280000000001,147.45600000000002,0.0,6336.000000000002,2419.2000000000007,460.8000000000001,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,6112.941372258349,168.23584347755462,0.0,0.0,3023.5455590578745,1977.7336070118329,223.1400252781397,0.0,12.0,0.0,0.0,0.0,1.0,0.0,2474.038279749699,0.0,0.0,232.43237187002984,0.0,3347.9234445807,0.0,0.0,510.3941910461524,0.0,0.0,1.0,0.0,1852.61442355221,0.0,0.0,143.7696,3.6864,16.0,0.0,2.0,0.0,0.0,1.0,19875.76670570712,0.0,0.0,411.4355053987846,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4843,4423.68,0.0,0.0,0.0,2211.84,1880.064,331.776,0.0,4608.000000000001,3225.6000000000004,1382.4000000000003,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,3982.7305153357074,536.2696224079557,0.0,0.0,2832.7490976170366,3186.7951408508115,302.01066969159416,203.76368777201796,10.0,2.0,0.0,0.0,0.0,1.0,2209.9526638329803,0.0,0.0,403.4852527534162,0.0,5763.406642484102,115.14407183599225,0.0,499.0220652162287,0.0,0.0,0.0,1.0,2044.166123457629,255.8768917260158,0.0,145.6128,1.8432,16.0,0.0,2.0,0.0,0.0,1.0,17774.837651237896,0.0,0.0,204.85440772706727,0.0,1.0,0.0,2.0,1.0,2.0,1.0
