dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.40.11.023a-D.40.11.023a,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.40.11.023a-D.40.11.023a
39,0.0,7585.8345144068935,7761.291558276567,0.0,0.0,0.0,3121.848522851836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.138971723986092,3.5031009649388825,0.0,0.0,0.0,7.605184009065493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,9966.611149782995,13523.811616832681,0.0,0.0,0.0,16516.454228596715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2368037761277,9.159230746697858,0.0,0.0,0.0,17.68996614923762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,12614.752740914208,14692.922309550795,0.0,0.0,0.0,15739.800602095458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05759259782194,9.646644977903787,0.0,0.0,0.0,2.5964093975727103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,5005.195093172506,10419.66435788525,0.0,0.0,0.0,17798.697012889024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.539889333662264,9.260107194449798,0.0,0.0,0.0,12.782227923089396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,5944.420032524841,0.0,0.0,0.0,7156.856776395936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.851775628813141,0.0,0.0,0.0,9.692078274062041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,6215.278173563352,14737.590218764391,0.0,0.0,3701.314499204769,6351.628361021228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.303532046899891,16.13612679055832,0.0,0.0,2.562039836750029,4.639408609809738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,6181.76173988793,4430.651337353918,0.0,0.0,0.0,16523.846758690874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.606788202887456,4.0880255942001735,0.0,0.0,0.0,5.191596543062939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,6681.111157460983,15047.092727878677,0.0,0.0,0.0,23577.048382093955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.898858123394279,10.302401799440851,0.0,0.0,0.0,11.451731685441434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,9371.466786401343,14325.145187030346,0.0,0.0,921.703477248695,8254.546041703496,10447.73931989318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.997419734804522,10.729638970472196,0.0,0.0,1.1041801786332774,15.270339253808096,11.0927155397202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,15334.323664296007,13300.506516942829,0.0,0.0,2235.5681232059296,20290.67397319091,7796.33290168209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.113316782939407,6.8274097277252705,0.0,0.0,1.2291501459357392,8.18512536569915,5.277697913983113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
