cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.121-0,B.20.11.121-1,B.30.11.012-0,B.30.11.012-1,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,D.10.14.021-0,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013b-0,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023b-0,D.20.21.023b-1,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.67.012b-0,D.40.11.023a-0,D.40.11.023a-1,D.40.11.074a-0,D.50.11.011a-0,D.50.12.023b-0,collapse-0,excessiveRID-0,irreparable-0
10,4423.68,0.0,4202.496,221.18400000000003,0.0,8755.200000000003,460.8000000000001,0.0,9216.000000000002,0.0,6451.0,0.0,5726.961793841456,89.05611376178378,0.0,4812.183631805481,425.5669848791017,0.0,0.0,12.0,0.0,0.0,1.0,1707.142945042452,0.0,224.61879313657076,5365.458234633651,0.0,463.5833291015771,0.0,1.0,0.0,2642.0914454429353,0.0,147.456,0.0,16.0,0.0,2.0,1.0,18976.734739098145,0.0,238.64155880546886,1.0,2.0,1.0,2.0,1.0
11,4423.68,0.0,4202.496,221.184,0.0,8524.800000000003,691.2000000000002,0.0,9216.000000000002,0.0,6451.0,0.0,5359.552358915198,0.0,0.0,5318.566898088538,638.6438603060575,0.0,0.0,12.0,0.0,0.0,1.0,2078.051658030349,0.0,325.78698436283395,3286.3790335847034,0.0,433.0187823920084,0.0,1.0,0.0,2021.2850169984717,0.0,147.456,0.0,16.0,0.0,2.0,1.0,21783.594439966426,0.0,197.33051743189392,1.0,2.0,1.0,2.0,1.0
12,4423.68,0.0,3907.5840000000003,516.096,0.0,8640.000000000002,576.0000000000001,0.0,9216.000000000002,0.0,6451.0,0.0,4677.1339560759925,68.7338030630027,0.0,4031.097013095675,851.1247804814114,0.0,0.0,12.0,0.0,0.0,1.0,2230.081345229363,0.0,361.96276117274505,5347.79058037293,0.0,692.8025443444944,0.0,1.0,0.0,2187.1505504273655,0.0,147.456,0.0,16.0,0.0,2.0,1.0,18375.082982726264,0.0,335.7939845356558,1.0,2.0,1.0,2.0,1.0
13,4423.68,0.0,3907.5840000000003,516.096,0.0,8409.600000000002,806.4000000000002,0.0,9216.000000000002,0.0,6451.0,0.0,6450.375526802931,0.0,0.0,5651.588660417771,1231.1492868035348,0.0,0.0,12.0,0.0,0.0,1.0,1822.4752028972166,0.0,363.30332207888694,3776.5016807247744,0.0,772.4844604922725,0.0,1.0,0.0,2072.8689752235846,0.0,147.456,0.0,16.0,0.0,2.0,1.0,19728.941945317656,0.0,193.57442716924876,1.0,2.0,1.0,2.0,1.0
14,4423.68,0.0,4276.224,147.45600000000002,0.0,8985.600000000002,230.40000000000006,0.0,9216.000000000002,0.0,6451.0,0.0,8294.148795549345,68.33195740147956,0.0,7527.595291088843,618.1970570895569,0.0,0.0,12.0,0.0,0.0,1.0,2513.101948896475,0.0,206.22080464232104,4296.160203041014,0.0,655.2895362969875,0.0,1.0,0.0,1790.4987900990118,0.0,147.456,0.0,16.0,0.0,2.0,1.0,22128.907674426544,0.0,230.14009001692418,1.0,2.0,1.0,2.0,1.0
15,4423.68,0.0,4239.360000000001,184.32000000000002,0.0,8640.000000000002,576.0000000000001,0.0,9216.000000000002,0.0,6451.0,0.0,7585.826979618555,0.0,0.0,5995.09362312212,444.97128492735135,0.0,0.0,12.0,0.0,0.0,1.0,2153.9934625929855,0.0,360.54898626592535,4061.2240984635996,0.0,851.9430821297904,0.0,1.0,0.0,2610.987410475712,0.0,147.456,0.0,16.0,0.0,2.0,1.0,26125.488404940763,0.0,253.56533516776574,1.0,2.0,1.0,2.0,1.0
16,4423.68,0.0,4423.68,0.0,0.0,8985.600000000002,230.40000000000006,0.0,9216.000000000002,0.0,6451.0,0.0,6398.738802423632,0.0,0.0,4200.979629727582,335.0380624096221,0.0,0.0,12.0,0.0,0.0,1.0,2104.412311695603,0.0,254.4848459135959,4726.841091277737,0.0,549.9216396466819,0.0,1.0,0.0,2377.729363422451,0.0,147.456,0.0,16.0,0.0,2.0,1.0,16775.56916193976,0.0,238.22802396766556,1.0,2.0,1.0,2.0,1.0
17,4423.68,0.0,4313.088,110.592,0.0,8640.000000000002,576.0000000000001,0.0,9216.000000000002,0.0,6451.0,0.0,6486.512340895456,46.09847772073954,0.0,4864.747489916644,456.5809844127139,0.0,0.0,12.0,0.0,0.0,1.0,1659.7684215118252,0.0,355.1615078853123,5734.457739936374,0.0,612.98752674669,0.0,1.0,0.0,2124.2565953292806,0.0,147.456,0.0,16.0,0.0,2.0,1.0,22382.85604214511,0.0,268.219404569111,1.0,2.0,1.0,2.0,1.0
18,4423.68,0.0,4018.1760000000004,405.504,0.0,8409.600000000002,806.4000000000002,0.0,9216.000000000002,0.0,6451.0,0.0,5862.751383704919,0.0,0.0,5165.692848515926,925.646694503114,0.0,0.0,12.0,0.0,0.0,1.0,2021.7164017415703,0.0,204.1564454451257,3356.167879660837,0.0,620.9155857915388,0.0,1.0,0.0,2118.0021340747185,0.0,147.456,0.0,16.0,0.0,2.0,1.0,20355.617487629246,0.0,221.92644905256373,1.0,2.0,1.0,2.0,1.0
19,4423.68,0.0,4239.360000000001,184.32000000000002,0.0,8294.400000000001,921.6000000000003,0.0,9216.000000000002,0.0,6451.0,0.0,5874.945701370462,0.0,0.0,3910.622246005903,694.0016821828907,72.70180140402573,0.0,12.0,0.0,0.0,1.0,1834.6371290314742,0.0,315.7060939203394,5092.819262957188,0.0,711.8110412791041,0.0,1.0,0.0,2268.634934118806,0.0,147.456,0.0,16.0,0.0,2.0,1.0,13311.682910211977,0.0,314.1115442944963,1.0,2.0,1.0,2.0,1.0
