cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.30.67.012b-1,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.40.11.074a-2,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,D.50.12.023b-1,collapse-0,excessiveRID-0,excessiveRID-1,irreparable-0,irreparable-1
3498,3354.6240000000003,737.28,294.91200000000003,36.864000000000004,663.552,774.144,2617.344,368.64,1152.0000000000002,1497.6000000000004,5644.800000000001,921.6000000000003,7027.200000000001,1497.6000000000001,576.0000000000001,115.20000000000002,645.1,2257.85,3548.0499999999997,1437.9024255120944,1310.7701137650474,1342.2736598600177,1206.0451775416482,574.645491642593,1643.9024207520501,2463.506789120433,547.7790876145042,2.0,6.0,4.0,0.0,1.0,2096.4945468189776,328.6955155275674,69.74774045372921,122.14930078526909,246.80600967504074,2249.161537351249,988.5381315639972,0.0,136.27361547232886,145.97723531486608,99.65453017481374,0.0,1.0,563.2999095658469,686.0669306787993,704.4735649033341,55.296,92.16,0.0,16.0,2.0,0.0,0.0,1.0,0.0,6170.6317963927095,7154.880404748961,2074.7352520773234,145.01168388374091,15.879500432723393,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
3499,3280.896,1032.192,110.59200000000001,0.0,589.8240000000001,700.416,3133.44,0.0,1497.6000000000004,1382.4000000000003,6336.000000000002,0.0,6336.000000000001,2880.0000000000005,0.0,0.0,5160.8,1290.2,0.0,2172.7300804438887,2057.285590302534,3453.8563136084463,1329.3476053007514,737.9584354399044,2248.2946957399668,2209.656347869402,522.738488781379,0.0,8.0,4.0,0.0,1.0,2076.5147545121276,36.736894642393096,0.0,42.040331508136234,325.56255050647434,3566.711344602375,150.37784179738082,0.0,429.8978827367598,146.1576919932145,0.0,0.0,1.0,1402.9677010605033,1043.1396421826266,0.0,105.0624,42.3936,12.0,4.0,0.0,0.0,2.0,1.0,0.0,12833.435521192809,3987.9720639134466,778.606688468845,233.3151085710024,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
3500,3428.352,442.368,147.45600000000002,405.504,737.28,663.552,2469.888,552.96,806.4000000000002,1728.0000000000005,5529.600000000001,1152.0000000000002,7027.200000000001,1036.8000000000002,115.20000000000002,1036.8,322.55,645.1,5483.349999999999,1997.5030345546952,1133.0697497004983,1293.3769004068263,1118.4515117197955,749.5974184312115,1699.4343411391915,3039.6174411731145,603.6671482548539,0.0,8.0,4.0,0.0,1.0,575.2771824174894,1141.4572698129166,401.4434484441937,0.0,330.2654085816421,932.7066148249064,1657.1476226022355,405.87014986877483,129.60789618921498,429.1320875206458,85.52879363648269,0.0,1.0,0.0,109.46726763305887,2153.661368180332,9.216000000000001,138.23999999999998,0.0,16.0,2.0,0.0,0.0,1.0,0.0,1364.8740663895785,9223.91479440958,8017.266539065066,239.07247809704054,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
3501,3317.76,884.7360000000001,184.32,36.864000000000004,700.416,516.096,2875.392,331.776,1382.4,1152.0000000000005,6105.600000000001,576.0000000000001,6796.800000000001,1958.4000000000003,460.80000000000007,0.0,1935.3,1612.75,2902.95,2053.6590011828484,1838.276821429279,1943.35402811624,484.1312051151331,856.8657275730081,2319.136439374418,2508.010033407653,388.68572452805205,2.0,6.0,2.0,2.0,1.0,1642.9828629429269,246.512125225406,29.28725173983244,207.5464701974252,89.23793685876801,2255.477634979805,1014.145025001626,0.0,604.0525914949999,0.0,148.30361069506603,0.0,1.0,1181.6102832458193,586.5634269055465,416.98314996623486,58.9824,88.4736,4.0,12.0,2.0,0.0,0.0,1.0,0.0,11091.794635637283,9066.741334896518,2526.7500534469236,216.073869884751,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
3502,3502.08,368.64,0.0,552.96,663.552,589.8240000000001,2617.344,552.96,1036.8000000000002,1612.8000000000006,5414.4000000000015,1152.0000000000002,7488.000000000002,576.0,0.0,1152.0000000000002,0.0,0.0,6451.0,2121.5059047370814,2036.0320760368088,1576.5956176734292,364.48336009805655,347.699245421683,2301.715194922536,2504.706236961374,342.5048576843507,0.0,10.0,0.0,2.0,1.0,81.4599180904445,920.7386269866967,658.8785869447848,0.0,457.9036647812037,258.51364552739074,1225.7967568480349,1525.5948274623795,0.0,0.0,839.6892597333044,0.0,1.0,0.0,186.71785538978952,1788.6337248661532,1.8432,145.6128,0.0,16.0,0.0,2.0,0.0,1.0,0.0,252.63783008366232,3249.829313136901,17102.0899605539,121.47390964024683,0.0,111.05525802170557,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0
3503,3391.4880000000003,958.4639999999999,73.72800000000001,0.0,884.736,442.368,3096.576,0.0,1267.2000000000003,1497.6000000000004,6451.200000000001,0.0,7488.000000000001,1728.0000000000002,0.0,0.0,6128.450000000001,322.55,0.0,2668.646893118783,2098.1380739671004,1752.8631599850885,314.0469140095214,1112.2060092822064,1697.4132722372724,4948.08686053132,801.5980161241034,6.0,2.0,2.0,2.0,1.0,2557.608599571512,14.80235487037867,0.0,197.83151238792072,60.78470195303927,3556.7184349260788,117.43198074955001,0.0,389.1198639060045,154.36697332829252,0.0,0.0,1.0,1323.3136700243047,252.419632094459,0.0,130.8672,16.5888,4.0,12.0,0.0,2.0,0.0,1.0,0.0,23699.288600855623,3591.8319132007523,286.43662964769175,244.50411518378468,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
3504,3244.032,1179.6480000000001,0.0,0.0,552.96,811.008,2985.984,73.72800000000001,1267.2000000000003,1612.8000000000002,5875.200000000002,460.8000000000001,7142.4000000000015,1612.8000000000002,460.80000000000007,0.0,1290.2,3870.6,1290.2,1557.8494332818786,1892.235815281216,2501.980047822221,339.3205224964848,909.5694441788119,2013.1648319184037,2048.2640220424164,390.9379988721753,2.0,10.0,0.0,0.0,1.0,1573.719318567034,283.67843550249063,19.903400725541236,162.82572948668167,106.81503757906812,2436.802366537767,336.6287257857492,0.0,234.97061126683212,245.2146925584775,0.0,0.0,1.0,1226.4629426688816,0.0,741.549101013678,88.4736,58.9824,8.0,8.0,2.0,0.0,0.0,1.0,0.0,13651.143526921911,9035.346232481605,4624.583161480604,293.66369209693033,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
3505,3538.9440000000004,811.008,73.72800000000001,0.0,811.008,516.096,3096.576,0.0,1382.4,1382.4000000000003,6336.000000000002,115.20000000000003,6681.600000000001,2534.4000000000005,0.0,0.0,5805.9,645.1,0.0,938.7800611323364,1249.6502990704619,1828.3140993281047,221.85808466129063,593.103191867369,1895.3669701599354,2525.8206562373985,528.8560879911352,2.0,10.0,0.0,0.0,1.0,2591.41452821446,60.248768240753044,0.0,101.8546188259011,174.92778033919234,3435.76345083388,51.00097203284585,0.0,478.4397186763468,0.0,0.0,0.0,1.0,1783.3035076172473,284.5680249815737,0.0,134.5536,12.9024,8.0,8.0,2.0,0.0,0.0,1.0,0.0,20339.484985251696,1418.9659203674823,0.0,255.76967406033106,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
3506,3502.08,405.504,331.776,184.32,626.6880000000001,516.096,2764.8,516.096,691.2000000000002,1612.8000000000004,5760.000000000001,1152.0000000000002,6681.600000000001,1497.6000000000004,345.6,691.2,967.65,645.1,4838.25,2021.7288679560174,1701.4726841563565,2072.268696539603,1475.7410770222734,1189.8430178012181,1676.7476741329779,1964.7574849528987,355.3400957987975,0.0,4.0,8.0,0.0,1.0,1259.579202124044,581.2822149721609,73.5398917898714,0.0,460.0828400886904,1975.901484319558,1305.7173496076969,116.39811110543549,133.704226052708,403.20403499436094,209.60407945827612,0.0,1.0,0.0,846.1115698917276,1702.3283104223083,23.9616,123.4944,4.0,12.0,2.0,0.0,0.0,1.0,0.0,3945.022837699413,15406.08208724018,5725.2688883411665,229.31487368801197,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
3507,3317.76,1105.92,0.0,0.0,663.552,552.96,3207.168,0.0,1152.0000000000002,1843.2000000000003,5990.4000000000015,230.40000000000006,7718.4000000000015,1382.4000000000003,115.20000000000002,0.0,5160.8,645.1,645.1,1448.3652362262617,961.2666053059272,2756.5738444031326,564.8020928896104,678.6589774637375,1662.4298144503052,2573.0699276763453,412.49146026665187,0.0,6.0,2.0,4.0,1.0,2207.232063169024,49.277157680567456,0.0,176.1625115459551,70.24303260054788,3862.0137105711974,60.04322980474757,62.963402640707336,482.87802726340647,72.92394863329447,0.0,0.0,1.0,1061.0763454605726,209.9049182675424,72.4808526026085,110.592,36.864,12.0,4.0,0.0,2.0,0.0,1.0,0.0,18102.650532232936,3542.1238274242246,0.0,257.12193368541466,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
3508,3502.08,811.008,110.59200000000001,0.0,663.552,589.8240000000001,3170.304,0.0,1497.6000000000004,1152.0000000000002,6336.000000000002,230.40000000000006,6912.000000000001,2188.8,115.20000000000002,0.0,4838.25,645.1,967.65,1844.412584523751,2186.9273689355523,1951.1859800389416,461.1586300742948,457.3336951271,2500.51025142628,3567.4708537889337,458.82494827814685,0.0,6.0,4.0,2.0,1.0,2019.5133018319525,86.73562650822291,0.0,225.31745383664494,60.087515601679925,3578.5406941629362,169.78402684064923,0.0,149.87873663990132,353.713647200431,0.0,0.0,1.0,2348.5654516250747,0.0,0.0,101.376,46.08,0.0,16.0,0.0,2.0,0.0,1.0,0.0,15339.476266995109,5987.014886680863,1467.7238560932153,267.6345621528669,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
3509,3465.2160000000003,774.144,184.32,0.0,774.144,442.36800000000005,3096.576,110.592,1497.6000000000004,1152.0000000000002,6451.200000000002,115.20000000000003,7027.200000000001,2073.6000000000004,115.20000000000002,0.0,3548.0499999999997,2902.95,0.0,2426.574870561586,1453.129282151063,1468.8331706468105,438.07533635862774,356.6432647031261,2706.284064683373,2617.4049014107186,1232.574339735196,2.0,4.0,6.0,0.0,1.0,2212.584845112897,179.19879545251888,0.0,322.1054813932945,0.0,3777.37640036958,277.84853506054617,0.0,553.677351496606,0.0,0.0,0.0,1.0,1561.61660454836,360.4121530300941,0.0,92.16,55.296,8.0,8.0,2.0,0.0,0.0,0.0,1.0,14045.919967418557,8773.405128762595,477.2688146993637,266.30870483112795,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0
3510,3244.032,1179.648,0.0,0.0,700.4159999999999,589.8240000000001,3096.576,36.864000000000004,1267.2000000000003,1382.4000000000003,6451.200000000002,115.20000000000003,6451.200000000001,2649.6000000000004,115.20000000000002,0.0,3548.0499999999997,2257.85,645.1,1493.1302293047884,1173.9781704704778,2565.533788610333,666.5870679621339,436.02018871565144,972.896441233548,2781.0205880089343,1200.5205136228578,6.0,2.0,2.0,2.0,1.0,1689.636445280653,46.666612973138754,0.0,178.8147048272139,85.62246060388154,4947.390368524244,597.0118960699384,0.0,149.9839277533065,203.92824677619217,218.26736431300193,0.0,1.0,1503.7896272364517,578.2060879270251,288.69120844223926,94.00319999999999,53.452799999999996,8.0,8.0,0.0,2.0,0.0,1.0,0.0,15904.606383875309,4515.265338189348,1210.9093432095003,265.8124278512884,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
3511,3059.712,1105.92,258.048,0.0,663.552,737.28,2875.3920000000003,147.45600000000002,1267.2000000000003,1612.8000000000004,5875.200000000002,460.8000000000001,6912.000000000001,1843.2000000000003,460.80000000000007,0.0,2580.4,2257.85,1612.75,1502.9922885500075,1556.180856533962,1341.7214733280653,1103.2938802910473,669.0920377976377,1546.228368247333,2095.7595317024,595.2048679561392,2.0,4.0,6.0,0.0,1.0,2141.670143661924,250.9707965777901,0.0,162.71064234315315,97.3566430333553,2699.171081957047,821.6022852362064,48.35268010642449,332.6454056244793,134.2739796312956,143.03903182505184,0.0,1.0,979.8203130041635,1102.1131600895094,266.9010638618436,62.668800000000005,84.7872,0.0,16.0,0.0,2.0,0.0,1.0,0.0,9089.43308137839,13467.654446185765,2841.9340033183635,190.497036140669,35.43718577418485,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
3512,3096.576,958.464,331.776,36.864000000000004,552.96,921.6,2433.0240000000003,516.096,1152.0000000000002,1728.0000000000005,5529.600000000001,806.4000000000001,6681.600000000001,1612.8000000000002,460.80000000000007,460.80000000000007,1935.3,1935.3,2580.4,2180.3975719508962,1383.6871922246528,1935.8370601245947,459.02855026393917,556.3726987297343,1942.6200612744956,2603.322678205254,753.8507595694869,4.0,4.0,4.0,0.0,1.0,945.1245742837712,366.63713243630036,33.06476873676877,197.34836281281113,128.01801657903883,3290.887584436664,714.7965382967257,0.0,242.4442058963166,174.9486927967536,96.78079864109708,0.0,1.0,1267.9243734998217,289.3603044271304,331.9913732956768,51.6096,95.8464,0.0,16.0,0.0,2.0,0.0,1.0,0.0,5356.301822373328,5984.199402931388,2403.1964855808314,266.11171894657014,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
3513,3538.9440000000004,479.23199999999997,368.64,36.864000000000004,626.688,626.6880000000001,2654.208,516.096,1382.4,1267.2000000000003,5414.4000000000015,1152.0000000000002,6912.000000000001,1267.2000000000003,921.6000000000001,115.20000000000002,1612.75,1935.3,2902.95,1617.2600909110902,1973.77085667595,2502.4974364067652,582.9376958409412,786.0812941365074,1452.7402547881156,2401.792519786304,594.3909899568984,4.0,6.0,2.0,0.0,1.0,917.4179288751205,370.36236215922696,35.59835090372194,329.96060484558603,62.81825738206737,3625.2869273737833,1425.5503407093215,125.67256901355606,126.3018678725009,0.0,378.8270387012499,0.0,1.0,720.4088436805805,456.5839673428774,1092.2507278312423,47.9232,99.5328,0.0,16.0,0.0,2.0,0.0,1.0,0.0,5840.615655359376,7911.051703420373,6135.436564030392,218.88499819179825,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0
3514,3317.76,995.328,73.72800000000001,36.864000000000004,626.6880000000001,737.28,2949.12,110.592,1843.2000000000003,921.6000000000003,6336.000000000002,115.20000000000003,7257.6,1843.2000000000003,115.20000000000002,0.0,6128.450000000001,322.55,0.0,2043.7198124677084,1500.2588907805252,1489.1512369108418,377.67954742115575,733.6946536331825,2135.938135714784,2625.9010786897634,877.6751337274826,4.0,4.0,4.0,0.0,1.0,2339.845680005702,0.0,0.0,255.98250886900846,46.96963073396663,3858.003667746591,36.256287630603445,0.0,780.0105271340449,0.0,0.0,0.0,1.0,2152.664582656811,0.0,0.0,123.4944,23.9616,8.0,8.0,0.0,0.0,2.0,1.0,0.0,14876.490716919765,677.8912655810346,0.0,264.98691630445643,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
3515,3170.304,1253.376,0.0,0.0,700.416,552.96,3133.44,36.864000000000004,1497.6000000000004,1152.0000000000002,6566.4000000000015,0.0,7142.4000000000015,2073.6000000000004,0.0,0.0,5805.9,322.55,322.55,2014.5724588744354,1337.3142383942945,2950.272195651134,415.915069750668,872.3204773802449,1454.024302390161,2977.6424373974296,1172.6214887900621,2.0,8.0,2.0,0.0,1.0,1504.1921883350262,39.85212098805866,0.0,233.9333612288711,0.0,5309.711856023344,0.0,0.0,278.1949482738895,302.3365077210345,0.0,0.0,1.0,1034.0218888667687,786.7885328656531,417.4774399153029,112.4352,35.0208,8.0,8.0,0.0,0.0,2.0,1.0,0.0,12485.13831077133,6895.102058622469,0.0,249.10458564198842,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
