cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.121-0,B.20.11.121-1,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.67.012b-0,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,collapse-0,excessiveRID-0,irreparable-0
4210,4423.68,0.0,2691.072,1474.56,258.048,5990.4000000000015,2534.4000000000005,691.2000000000002,9216.000000000002,0.0,6451.0,0.0,0.0,6199.0533676187415,221.05285502164602,0.0,0.0,2085.730859550347,1395.9640190912423,208.08945161441383,0.0,10.0,2.0,0.0,1.0,0.0,1890.4095538565205,0.0,0.0,349.23137961471457,0.0,3307.1957195287555,0.0,0.0,581.1326949367908,0.0,0.0,1.0,0.0,2109.1254257752594,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,20589.37784169147,0.0,0.0,287.82785200226067,1.0,0.0,2.0,1.0,2.0,1.0
4211,4423.68,0.0,3723.264,700.416,0.0,8179.200000000003,921.6000000000003,115.20000000000003,9216.000000000002,0.0,6451.0,0.0,0.0,5056.825508931728,0.0,0.0,0.0,4560.301635693533,1026.6935025414011,0.0,97.75729245156508,12.0,0.0,0.0,1.0,0.0,1944.7321724653125,0.0,0.0,249.03206488799586,0.0,2847.7363901265117,0.0,0.0,899.5155431154908,0.0,0.0,1.0,0.0,1910.239874650269,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,26140.002854239887,0.0,0.0,222.46593930266496,1.0,0.0,2.0,1.0,2.0,1.0
4212,4423.68,0.0,3465.2160000000003,774.144,184.32,7833.600000000002,1382.4000000000003,0.0,9216.000000000002,0.0,6451.0,0.0,0.0,5862.771855210864,187.19974612555524,0.0,0.0,4720.406507680164,2231.8598995866873,0.0,62.970640136490864,12.0,0.0,0.0,1.0,0.0,1566.2434247950368,0.0,0.0,168.06800931819706,101.56896203600007,3746.1472988158357,0.0,0.0,495.9305989651701,0.0,0.0,0.0,1.0,1674.110529824327,0.0,0.0,145.6128,1.8432,8.0,8.0,2.0,0.0,1.0,22836.130195104088,489.09822803021575,0.0,235.81455038683114,1.0,0.0,2.0,1.0,2.0,1.0
4213,4423.68,0.0,3575.808,811.008,36.864000000000004,7142.4000000000015,1958.4000000000003,115.20000000000003,9216.000000000002,0.0,6451.0,0.0,0.0,5460.716843804771,101.280299977132,0.0,0.0,5774.877645245697,1174.048150635799,0.0,119.74760683308648,12.0,0.0,0.0,1.0,0.0,2272.4243166918477,0.0,0.0,269.6287925763977,0.0,4238.241482552597,0.0,0.0,764.2147226617055,0.0,0.0,1.0,0.0,2116.8598949405327,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,16052.856008940753,0.0,0.0,274.6918201327792,1.0,0.0,2.0,1.0,2.0,1.0
4214,4423.68,0.0,3244.032,1179.648,0.0,6796.800000000002,2188.8,230.40000000000006,9216.000000000002,0.0,6451.0,0.0,0.0,5879.156783593007,136.1602486926792,0.0,0.0,3683.5692123541016,2034.4205547027843,0.0,0.0,12.0,0.0,0.0,1.0,0.0,1866.9098320846892,0.0,0.0,333.1648475436434,0.0,5091.971230679832,0.0,0.0,504.19741699849544,0.0,0.0,1.0,0.0,2287.3980088753933,0.0,0.0,145.6128,1.8432,16.0,0.0,2.0,0.0,1.0,14733.51155463318,0.0,0.0,242.88244153250608,1.0,0.0,2.0,1.0,2.0,1.0
4215,4423.68,0.0,3723.264,663.552,36.864000000000004,7833.600000000001,1382.4,0.0,9216.000000000002,0.0,6451.0,0.0,0.0,6794.265454096978,0.0,0.0,0.0,4030.554109258638,1080.8856083183098,0.0,0.0,10.0,2.0,0.0,1.0,0.0,1424.5547206697202,0.0,0.0,351.12626155996975,0.0,4837.810503083875,0.0,0.0,595.8207981105762,0.0,0.0,1.0,0.0,2174.4494816375386,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,24272.75750620629,0.0,0.0,197.44180674419806,1.0,0.0,2.0,1.0,2.0,1.0
4216,4423.68,0.0,2949.12,1327.104,147.45600000000002,5184.000000000001,4032.0000000000014,0.0,9216.000000000002,0.0,6128.450000000001,322.55,0.0,6004.903800832631,181.39557713080399,0.0,0.0,4274.530770491872,1959.1100841526693,302.74662948916426,79.83846252245819,12.0,0.0,0.0,1.0,0.0,1997.7669104650288,20.641570901283657,0.0,319.2755330864925,0.0,4015.7631339321442,79.6835615918216,0.0,721.5785300783863,238.87182203514163,0.0,0.0,1.0,2116.7581281423036,0.0,0.0,134.5536,12.9024,8.0,8.0,2.0,0.0,1.0,19718.326028146363,641.5058311525564,0.0,288.2893327688873,1.0,0.0,2.0,1.0,2.0,1.0
4217,4423.68,0.0,2949.12,1400.832,73.72800000000001,6681.600000000001,2534.4000000000005,0.0,9216.000000000002,0.0,6451.0,0.0,0.0,5875.974281156003,119.62763502241671,0.0,0.0,3107.5506326395625,1847.5327422439905,0.0,0.0,12.0,0.0,0.0,1.0,0.0,2670.854087248104,0.0,0.0,330.8583824491604,0.0,3329.736840810609,0.0,0.0,525.731003542711,0.0,0.0,1.0,0.0,2000.4285636192312,0.0,0.0,143.7696,3.6864,16.0,0.0,2.0,0.0,1.0,24568.206646374558,0.0,0.0,227.37601427042776,1.0,0.0,2.0,1.0,2.0,1.0
4218,4423.68,0.0,3538.944,847.8720000000001,36.864000000000004,7027.200000000002,2188.8000000000006,0.0,9216.000000000002,0.0,6451.0,0.0,0.0,4901.271223073309,119.71946801929423,0.0,0.0,3749.6728536740357,2062.3491846804804,0.0,0.0,12.0,0.0,0.0,1.0,0.0,2518.8540925697102,0.0,0.0,242.74874779617636,0.0,5373.735441698365,0.0,0.0,1185.2103074329043,0.0,0.0,1.0,0.0,2151.8745760982392,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,21753.799415319594,0.0,0.0,163.90515181153614,1.0,0.0,2.0,1.0,2.0,1.0
4219,4423.68,0.0,3244.032,884.736,294.91200000000003,6566.4000000000015,2419.2000000000003,230.40000000000006,9216.000000000002,0.0,6451.0,0.0,0.0,4273.666437647403,147.62841130561716,0.0,0.0,2628.086771032272,2345.4325670459357,66.3415967209415,0.0,10.0,2.0,0.0,1.0,0.0,1968.9021819475015,0.0,0.0,274.25651768956965,0.0,2793.168759923027,0.0,0.0,590.5951697714704,0.0,0.0,1.0,0.0,1893.0926613475017,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,17806.542914804475,0.0,0.0,256.3329870088161,1.0,0.0,2.0,1.0,2.0,1.0
4220,4423.68,0.0,2138.112,1142.784,1142.784,4147.200000000001,3110.4000000000005,1958.4000000000005,9216.000000000002,0.0,5805.9,645.1,0.0,3938.2304900526046,1798.7408687260327,0.0,0.0,2720.489251473624,2302.8369888828674,681.9877124664878,84.00133357793166,4.0,8.0,0.0,1.0,0.0,2003.448941848621,0.0,0.0,258.74254649236167,0.0,3957.4565064249814,0.0,0.0,532.2172434581049,0.0,0.0,1.0,0.0,1700.8704750098073,0.0,0.0,141.9264,5.5296,8.0,8.0,2.0,0.0,1.0,18940.36591752436,390.8944807428151,0.0,178.3845563848966,1.0,0.0,2.0,1.0,2.0,1.0
4221,4423.68,0.0,3760.128,589.8240000000001,73.72800000000001,7718.4000000000015,1382.4000000000005,115.20000000000003,9216.000000000002,0.0,6451.0,0.0,0.0,5945.881132217246,190.3876414106465,0.0,0.0,3779.836754536799,770.2994828583885,0.0,0.0,12.0,0.0,0.0,1.0,0.0,1596.6420896372958,0.0,0.0,267.9418613512513,0.0,6282.510888317024,0.0,0.0,467.7666191782807,0.0,0.0,1.0,0.0,2003.5796203617858,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,26810.749597596623,0.0,0.0,327.85820651098436,1.0,0.0,2.0,1.0,2.0,1.0
4222,4423.68,0.0,2985.984,1253.376,184.32000000000002,5875.200000000002,3110.4000000000005,230.40000000000006,9216.000000000002,0.0,6128.450000000001,322.55,0.0,5209.14393984223,141.4766460912488,0.0,0.0,2979.398517265839,2835.770839772188,119.08421323217591,0.0,8.0,4.0,0.0,1.0,0.0,2696.202606067124,0.0,0.0,282.8548288098402,0.0,4644.371836731762,0.0,0.0,569.8229957135839,0.0,0.0,0.0,1.0,1782.6542293396687,231.2281908216244,0.0,145.6128,1.8432,16.0,0.0,2.0,0.0,1.0,19358.264907989214,0.0,0.0,296.1457382692938,1.0,0.0,2.0,1.0,2.0,1.0
4223,4423.68,0.0,4055.0400000000004,368.64,0.0,7948.800000000002,1267.2000000000003,0.0,9216.000000000002,0.0,6451.0,0.0,0.0,5678.915749543921,85.15815333588365,0.0,0.0,4504.925330618703,1819.510159485116,90.41454239358323,0.0,12.0,0.0,0.0,1.0,0.0,1861.779321886942,0.0,0.0,241.98581820549123,0.0,5610.668648315321,0.0,0.0,563.5928253566501,0.0,0.0,1.0,0.0,2358.367846402678,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,33346.55575339235,0.0,0.0,208.66596736434968,1.0,0.0,2.0,1.0,2.0,1.0
4224,4423.68,0.0,3133.44,1142.784,147.45600000000002,6336.000000000002,2419.2000000000003,460.8000000000001,9216.000000000002,0.0,6451.0,0.0,0.0,5868.333242719203,424.5524937300492,0.0,0.0,3981.3234821230344,2127.718896150966,0.0,0.0,10.0,2.0,0.0,1.0,0.0,1660.420099354271,0.0,0.0,253.4560160118796,0.0,3372.5220627237154,0.0,0.0,448.3035980468188,0.0,0.0,1.0,0.0,2137.9520132464763,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,24818.494824761772,0.0,0.0,298.8425631828016,1.0,0.0,2.0,1.0,2.0,1.0
4225,4423.68,0.0,3907.5840000000003,479.23199999999997,36.864000000000004,8179.200000000002,1036.8000000000002,0.0,9216.000000000002,0.0,6451.0,0.0,0.0,5636.945831720513,127.27865205845876,0.0,0.0,4183.905992771019,979.2461112016978,0.0,0.0,10.0,2.0,0.0,1.0,0.0,1863.9290130945049,0.0,0.0,304.70529769670543,0.0,4649.736902193425,0.0,0.0,735.6026989343902,0.0,0.0,1.0,0.0,1881.4001803082103,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,23377.514542838322,0.0,0.0,223.50564185668645,1.0,0.0,2.0,1.0,2.0,1.0
4226,4423.68,0.0,3686.4,294.91200000000003,442.368,7257.600000000001,1152.0000000000002,806.4000000000001,9216.000000000002,0.0,6451.0,0.0,0.0,4494.557240296183,495.68388166814395,0.0,0.0,5528.758704176525,781.2765187910983,43.2938648323116,43.2938648323116,12.0,0.0,0.0,1.0,0.0,1586.8697505841496,0.0,0.0,274.7997039048806,0.0,3591.44545936124,0.0,0.0,525.1593954212133,0.0,0.0,1.0,0.0,2146.977063847892,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,16240.512797172989,0.0,0.0,189.062285288915,1.0,0.0,2.0,1.0,2.0,1.0
4227,4423.68,0.0,4091.9040000000005,331.77600000000007,0.0,8409.600000000002,806.4000000000002,0.0,9216.000000000002,0.0,6451.0,0.0,0.0,5113.583080113274,0.0,0.0,0.0,5556.295705026086,648.7608729920128,0.0,0.0,12.0,0.0,0.0,1.0,0.0,1633.6380226009016,0.0,0.0,242.91099740954076,0.0,3818.249493091781,0.0,0.0,735.8016317920994,0.0,0.0,1.0,0.0,2006.3920703691313,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,22674.901124956697,0.0,0.0,285.6224951830145,1.0,0.0,2.0,1.0,2.0,1.0
4228,4423.68,0.0,3686.4,737.2800000000001,0.0,8294.400000000001,806.4000000000002,115.20000000000003,9216.000000000002,0.0,6451.0,0.0,0.0,6903.336227743762,451.546913927215,0.0,0.0,4430.30885726839,1500.804325826772,71.29067388852776,0.0,12.0,0.0,0.0,1.0,0.0,1645.8717678999062,0.0,0.0,297.7029003357682,0.0,6452.352289959319,0.0,0.0,547.3629978788751,0.0,0.0,1.0,0.0,2615.9909688322973,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,24771.275429701524,0.0,0.0,193.69291402020693,1.0,0.0,2.0,1.0,2.0,1.0
4229,4423.68,0.0,2875.392,1511.424,36.864000000000004,6796.800000000001,2188.8000000000006,230.40000000000006,9216.000000000002,0.0,6451.0,0.0,0.0,4635.418676356304,191.98262479132737,0.0,0.0,5007.15696993583,2676.7212003452764,74.49510470136,0.0,12.0,0.0,0.0,1.0,0.0,2208.924705439327,0.0,0.0,268.0173800175437,0.0,3949.866198875211,0.0,0.0,584.0624590909827,0.0,0.0,1.0,0.0,1880.1235444221913,0.0,0.0,147.456,0.0,12.0,4.0,2.0,0.0,1.0,21164.0248951072,0.0,0.0,241.70465922806102,1.0,0.0,2.0,1.0,2.0,1.0
4230,4423.68,0.0,3317.76,700.416,405.504,7142.4000000000015,1382.4000000000003,691.2000000000003,9216.000000000002,0.0,6451.0,0.0,0.0,5570.36732967682,568.92928362277,0.0,0.0,3353.646018792088,1895.9922242278453,91.40222237865015,63.06606204841474,10.0,2.0,0.0,1.0,0.0,2312.0433144217704,0.0,0.0,308.77878134403886,0.0,4307.003416594089,0.0,0.0,612.0759270691156,0.0,0.0,1.0,0.0,1907.1987969846912,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,24511.960454601784,0.0,0.0,339.8943267586323,1.0,0.0,2.0,1.0,2.0,1.0
4231,4423.68,0.0,3354.624,995.328,73.72800000000001,7603.200000000002,1267.2000000000003,345.60000000000014,9216.000000000002,0.0,6451.0,0.0,0.0,5627.910579405957,273.47287999646164,0.0,0.0,3820.2271736262414,1153.148472309797,183.4458916090649,0.0,12.0,0.0,0.0,1.0,0.0,3235.7202515370327,0.0,0.0,328.93054891638405,0.0,2814.281165738395,0.0,0.0,816.017082302039,0.0,0.0,1.0,0.0,1660.7836829655876,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,13373.33774469384,0.0,0.0,169.40329403601248,1.0,0.0,2.0,1.0,2.0,1.0
4232,4423.68,0.0,3465.2160000000003,958.464,0.0,6681.600000000001,2534.4000000000005,0.0,9216.000000000002,0.0,5805.9,645.1,0.0,5606.5617406182055,0.0,0.0,0.0,3316.0992987848795,2787.100916133941,0.0,0.0,10.0,2.0,0.0,1.0,0.0,2291.2924653625987,0.0,0.0,380.3230399199773,0.0,5533.608573445399,0.0,0.0,573.1092614154205,0.0,0.0,1.0,0.0,2162.5200440436797,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,24524.61336912121,264.59919994577024,0.0,179.9474863631621,1.0,0.0,2.0,1.0,2.0,1.0
4233,4423.68,0.0,2985.9840000000004,1363.968,73.72800000000001,7027.200000000002,2073.6000000000004,115.20000000000003,9216.000000000002,0.0,6451.0,0.0,0.0,7147.949340896714,0.0,0.0,0.0,2863.6135955583495,2416.9802390643326,0.0,0.0,8.0,4.0,0.0,1.0,0.0,2062.6021356902584,0.0,0.0,267.70980949144314,0.0,3553.9664501231005,0.0,0.0,442.5247475800051,0.0,0.0,1.0,0.0,1758.0895496093462,0.0,0.0,145.6128,1.8432,16.0,0.0,2.0,0.0,1.0,19733.54563497447,0.0,0.0,225.8615366668339,1.0,0.0,2.0,1.0,2.0,1.0
4234,4423.68,0.0,3796.992,626.688,0.0,8294.400000000001,691.2000000000002,230.40000000000006,9216.000000000002,0.0,6451.0,0.0,0.0,5053.47292936161,226.34241450107038,0.0,0.0,3659.4965816018275,1349.6976096524165,0.0,0.0,10.0,2.0,0.0,1.0,0.0,2295.7675680630896,0.0,0.0,205.56599271710257,0.0,4894.799951999072,0.0,0.0,717.9787291259689,0.0,0.0,1.0,0.0,2337.2790545710413,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,15871.70518303556,0.0,0.0,220.22340758536453,1.0,0.0,2.0,1.0,2.0,1.0
4235,4423.68,0.0,3796.992,626.688,0.0,7488.000000000002,1728.0000000000005,0.0,9216.000000000002,0.0,6451.0,0.0,0.0,4846.093149950819,0.0,0.0,0.0,3612.5756491594148,1607.4571680785202,0.0,0.0,12.0,0.0,0.0,1.0,0.0,1614.9873706606443,0.0,0.0,290.40278847295133,0.0,3434.4673573223818,0.0,0.0,821.1961670988082,0.0,0.0,1.0,0.0,1546.790230880568,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,21787.987888718573,0.0,0.0,202.50485595066746,1.0,0.0,2.0,1.0,2.0,1.0
4236,4423.68,0.0,3833.856,552.96,36.864000000000004,8294.400000000001,921.6000000000001,0.0,9216.000000000002,0.0,6451.0,0.0,0.0,6761.850391182697,51.84249181732198,0.0,0.0,4632.257023964459,1039.6487282857634,0.0,0.0,10.0,2.0,0.0,1.0,0.0,2626.580836365651,0.0,0.0,266.96838540945697,0.0,4139.665139808545,0.0,0.0,626.993157773501,0.0,0.0,1.0,0.0,1652.6490700619593,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,15192.630933029497,0.0,0.0,330.55821490716625,1.0,0.0,2.0,1.0,2.0,1.0
4237,4423.68,0.0,3796.992,626.6880000000001,0.0,8294.400000000001,921.6000000000003,0.0,9216.000000000002,0.0,6451.0,0.0,0.0,4782.362579852123,0.0,0.0,0.0,4868.466708831428,1052.5884856280293,0.0,0.0,12.0,0.0,0.0,1.0,0.0,1952.9010958114582,0.0,0.0,277.94743306301166,0.0,5298.110667932615,0.0,0.0,616.0468798981996,0.0,0.0,1.0,0.0,1901.8401447468855,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,22538.59819815697,0.0,0.0,172.79393407697845,1.0,0.0,2.0,1.0,2.0,1.0
4238,4423.68,0.0,4055.04,368.64,0.0,8294.400000000001,921.6000000000003,0.0,9216.000000000002,0.0,6451.0,0.0,0.0,6961.402406456396,0.0,0.0,0.0,5871.770649879767,755.304457657772,0.0,0.0,12.0,0.0,0.0,1.0,0.0,2195.6632651860464,0.0,0.0,377.6616976212444,0.0,4318.431791955282,0.0,0.0,724.3358369617036,0.0,0.0,1.0,0.0,1957.0412264139877,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,18018.006881672038,0.0,0.0,273.9871615670192,1.0,0.0,2.0,1.0,2.0,1.0
4239,4423.68,0.0,2691.072,1658.88,73.72800000000001,6681.600000000001,2188.8,345.6000000000001,9216.000000000002,0.0,6451.0,0.0,0.0,4768.497957172522,209.12534956558747,0.0,0.0,3121.8695616021582,2144.557162485014,219.3288586132391,29.407495843149434,8.0,4.0,0.0,1.0,0.0,2238.938562679575,0.0,0.0,230.39895805517176,0.0,5024.764461015913,0.0,0.0,967.4133913093928,0.0,0.0,1.0,0.0,2361.08954459322,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,1.0,20201.138124431905,0.0,0.0,274.24648878485135,1.0,0.0,2.0,1.0,2.0,1.0
