dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.40.11.023a-D.40.11.023a,COST-D.50.11.011a-D.50.11.011a,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.50.11.011a-D.50.11.011a
22,0.0,7339.873653010997,17377.939682276665,0.0,0.0,3566.11582771513,19678.987444633894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802.6524845240739,0.0,0.0,269.7586790089928,0.0,0.0,6.490935187252575,17.311921265827372,0.0,0.0,3.2872906009420624,13.565422680836981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4776839380482952,0.0,0.0,0.3940389696518587,0.0
23,0.0,26962.625822208924,43536.73454633136,0.0,0.0,6724.644807589884,28795.11764526645,14405.457660144326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.694003210012482,40.24660803479812,0.0,0.0,10.375181257127377,21.209780027947403,10.145366424769492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,31897.68208048794,32714.505563053208,0.0,0.0,7791.33877106197,41523.049032991825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812.3232351695966,0.0,0.0,0.0,0.0,0.0,27.174324143245943,21.73143890416177,0.0,0.0,5.864159516058928,37.372269838158324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766788686480861,0.0,0.0,0.0,0.0
25,0.0,26250.902529846742,32162.02193146529,0.0,0.0,3072.178681135393,28467.355566676633,13670.74905359736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1175428365283,35.213850996955415,0.0,0.0,3.3271823615227554,27.30608020629464,12.69327437314773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,8221.938977876245,10791.51510820306,0.0,0.0,0.0,12477.163048221433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.143057376172035,8.952930395062527,0.0,0.0,0.0,7.841658384198879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,6862.8129106194465,16580.519449554136,0.0,0.0,1332.4359969139168,20603.861318020296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.912878054051994,10.479468790231,0.0,0.0,3.032524500760962,14.537330478377145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,24236.78690453572,32457.695962983802,0.0,0.0,1970.0205484262585,51366.154682639455,11675.771270947289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.770509521922463,33.79170880685208,0.0,0.0,2.168760191263845,43.04430048540311,5.466469149403039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,22516.199727266005,37464.142735333895,0.0,0.0,4000.0113839368064,29517.899738773296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.035872567248994,25.056216284945876,0.0,0.0,4.543642546472687,17.5474683500619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,24226.942737982987,28197.28851692785,0.0,0.0,6058.028319308206,27861.921271403844,8653.424711195556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.209569119781,0.0,0.0,0.0,0.0,24.020710985835073,24.11058013513468,0.0,0.0,5.119074047701419,20.174772707481175,7.7880083053848415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.135022299429751,0.0,0.0,0.0
31,0.0,10378.7076653386,15065.598052291218,0.0,0.0,0.0,11302.838759306784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.052542948484154,11.830075375529503,0.0,0.0,0.0,19.09682289717814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,10502.853839680702,15054.196943287767,0.0,0.0,4770.494457870139,27231.21564804029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.314584441277782,10.559278310197177,0.0,0.0,4.481050466155069,15.696167581078345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,25940.080365930462,40503.54938311197,0.0,13482.387373447105,13913.258272476513,122546.40837167048,0.0,0.0,0.0,0.0,0.0,0.0,56665.69301511928,0.0,1101.486311336156,11941.137595831264,0.0,252.92755130301856,0.0,0.0,29.605425555729948,26.714730631965573,0.0,26.016363643971545,4.882213392557606,62.61945677108592,0.0,0.0,0.0,0.0,0.0,0.0,13.21094478359821,0.0,0.5973741906913342,7.958903296877049,0.0,0.1791171468479817,0.0
34,0.0,18698.95954915183,40789.32848557168,0.0,0.0,5687.302867577289,30455.174652377224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.196023441119987,27.425087515079333,0.0,0.0,5.8407305296048335,33.03968454342657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,20725.853743973687,34028.21731323141,0.0,0.0,3298.2581425236444,23166.931851679812,11628.010632866062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8903.168688859416,0.0,334.2070140810622,0.0,0.0,30.548195607593257,23.820298428078726,0.0,0.0,1.6770924853882703,29.82010002265168,11.196661377989907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.77164408446591,0.0,0.12441481011685662,0.0
36,0.0,18617.995674255762,22379.351216809086,0.0,0.0,5583.741377254386,54406.43401751369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.723769270651896,22.858761689139243,0.0,0.0,6.849685604492864,43.27601226161795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,14790.915693929624,15013.038018340982,0.0,0.0,3108.5537189226657,24194.566426815552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.078567679001702,15.332410851559615,0.0,0.0,1.2809926698095198,22.416770825147353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
