cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,collapse-0,excessiveRID-0,irreparable-0
10,4128.768,294.91200000000003,0.0,2691.072,626.6880000000001,1105.92,0.0,5875.200000000002,1036.8000000000002,2304.0000000000005,0.0,8409.600000000002,806.4000000000001,0.0,6451.0,0.0,0.0,3806.809053959489,784.6902269275762,1160.7788258734222,0.0,3851.280683172941,1260.6073291010418,1372.2308045889033,520.0512420540263,8.0,4.0,0.0,0.0,1.0,0.0,2113.9391323123455,0.0,0.0,356.727534423154,0.0,4526.20742011987,0.0,0.0,436.0844371283161,0.0,0.0,1.0,0.0,1995.088426955067,0.0,0.0,145.6128,1.8432,16.0,0.0,2.0,0.0,0.0,1.0,12815.568224495015,696.490414130811,0.0,293.9831452581253,1.0,0.0,2.0,1.0,2.0,1.0
11,4423.68,0.0,0.0,2248.704,1363.968,811.008,0.0,5414.4000000000015,2764.8000000000006,1036.8000000000002,0.0,9216.000000000002,0.0,0.0,6451.0,0.0,0.0,5226.055486282266,566.3863436684023,67.31552392871731,0.0,2648.5316378217835,2931.624495863757,669.3669666870762,118.75477521141097,10.0,2.0,0.0,0.0,1.0,0.0,2323.744238223576,0.0,0.0,270.34606800623453,0.0,4425.538773319779,0.0,0.0,648.0786722942296,0.0,0.0,0.0,1.0,1849.263567124658,0.0,0.0,143.7696,3.6864,12.0,4.0,2.0,0.0,0.0,1.0,25251.34552595965,1335.4279051062883,0.0,170.88442932338154,1.0,0.0,2.0,1.0,2.0,1.0
12,4423.68,0.0,0.0,2912.2560000000003,1363.968,147.45600000000002,0.0,5875.200000000001,2649.6000000000004,691.2000000000002,0.0,9216.000000000002,0.0,0.0,6451.0,0.0,0.0,7377.002285988137,515.4041299413909,0.0,0.0,4018.1547573187804,2262.6877059260014,0.0,63.611813291557056,12.0,0.0,0.0,0.0,1.0,0.0,3105.84586219248,0.0,0.0,271.80476114712786,0.0,2821.705380817568,0.0,0.0,557.2788948582806,0.0,0.0,1.0,0.0,1919.7535536676269,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,20432.43524873734,0.0,0.0,340.2445045566009,1.0,0.0,2.0,1.0,2.0,1.0
13,4423.68,0.0,0.0,3280.896,1105.92,36.864000000000004,0.0,6220.800000000001,2995.2000000000007,0.0,0.0,9216.000000000002,0.0,0.0,6451.0,0.0,0.0,5998.873304583718,397.4265326209077,0.0,0.0,4669.009427813614,2024.3121908244311,93.66317948545876,0.0,10.0,2.0,0.0,0.0,1.0,0.0,1827.5530875707323,0.0,0.0,242.4115033386064,0.0,3828.0031111794633,0.0,0.0,636.8440961716467,0.0,0.0,1.0,0.0,1719.6836740979443,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,18828.573318334235,0.0,0.0,330.38674623592533,1.0,0.0,2.0,1.0,2.0,1.0
14,4423.68,0.0,0.0,3317.76,479.232,626.688,0.0,6796.800000000001,691.2000000000002,1728.0000000000005,0.0,9100.800000000001,115.20000000000002,0.0,6451.0,0.0,0.0,5491.076852796902,684.6800681755905,86.90724571240315,0.0,3522.457166977939,1192.1924837817119,175.5523860255224,58.53795352328402,8.0,2.0,2.0,0.0,1.0,0.0,1812.12291748138,0.0,0.0,169.81670605044525,0.0,5580.787035799805,0.0,0.0,426.8222538365705,0.0,0.0,1.0,0.0,2413.968994652516,0.0,0.0,147.456,0.0,8.0,8.0,2.0,0.0,0.0,1.0,20238.72542962532,0.0,0.0,300.01274366738016,1.0,0.0,2.0,1.0,2.0,1.0
15,4423.68,0.0,0.0,3022.848,1363.968,36.864000000000004,0.0,6336.000000000002,2764.8000000000006,115.20000000000003,0.0,9216.000000000002,0.0,0.0,6451.0,0.0,0.0,4709.2497101738745,505.56500897518504,0.0,0.0,3846.0363036101044,4863.492406621137,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,2121.0641489990912,0.0,0.0,246.82224860933673,0.0,4214.518928700145,0.0,0.0,633.3155417658197,0.0,0.0,0.0,1.0,2325.228225466012,0.0,0.0,145.6128,1.8432,12.0,4.0,2.0,0.0,0.0,1.0,21853.627083647,243.8989254274114,0.0,204.69603690270802,1.0,0.0,2.0,1.0,2.0,1.0
16,4423.68,0.0,0.0,2875.3920000000003,1253.376,294.91200000000003,0.0,6220.800000000001,2649.600000000001,345.6000000000001,0.0,9216.000000000002,0.0,0.0,6451.0,0.0,0.0,4697.319987613552,383.27876517726355,0.0,0.0,2941.711327708284,1944.4590508784381,57.45624068972042,0.0,10.0,2.0,0.0,0.0,1.0,0.0,3298.5104671710524,0.0,0.0,227.02021612438557,0.0,5247.701672393481,0.0,0.0,758.8008308801325,0.0,0.0,1.0,0.0,1570.4914201717047,0.0,0.0,145.6128,1.8432,16.0,0.0,2.0,0.0,0.0,1.0,27161.290692943177,0.0,0.0,243.69576239977573,1.0,0.0,2.0,1.0,2.0,1.0
17,4423.68,0.0,0.0,3170.304,1069.056,184.32000000000002,0.0,6681.600000000001,2304.0000000000005,230.40000000000006,0.0,9216.000000000002,0.0,0.0,6451.0,0.0,0.0,4662.704573967329,217.26929888576194,0.0,0.0,3389.1135891916347,2191.173783089874,63.37321325818146,63.37321325818146,10.0,2.0,0.0,0.0,1.0,0.0,1748.8875643670845,0.0,0.0,293.2029793815622,0.0,5792.132673081018,0.0,0.0,696.3526730408447,0.0,0.0,0.0,1.0,2109.3297584884044,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,15238.696352061397,0.0,0.0,207.94109935764948,1.0,0.0,2.0,1.0,2.0,1.0
18,4423.68,0.0,0.0,2912.2560000000003,1327.104,184.32,0.0,5414.4000000000015,3456.000000000001,345.6000000000001,0.0,9216.000000000002,0.0,0.0,6451.0,0.0,0.0,5581.291632606436,310.5284043001235,0.0,0.0,2981.4353417229377,2197.98990460404,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,3386.7842398290422,0.0,0.0,323.9207481580096,0.0,3298.217231743384,0.0,0.0,597.1492553647131,0.0,0.0,1.0,0.0,2181.444350763394,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,22355.29931575687,0.0,0.0,260.07359726902746,1.0,0.0,2.0,1.0,2.0,1.0
19,4386.816000000001,36.864000000000004,0.0,2138.112,1142.784,1142.784,0.0,4032.000000000001,3686.400000000001,1497.6000000000004,0.0,9216.000000000002,0.0,0.0,6451.0,0.0,0.0,4486.72110031671,1516.7233210386244,140.3305211607482,0.0,2524.5481243481636,2448.012326133187,971.3105293289145,165.9219076175843,6.0,6.0,0.0,0.0,0.0,1.0,2846.2947614385716,0.0,0.0,284.1204318410325,0.0,4696.295563651858,24.443860667664687,0.0,571.5293233290761,245.69419894663835,0.0,0.0,1.0,1958.5649115163126,389.9398258929169,0.0,129.024,18.432,12.0,4.0,2.0,0.0,0.0,1.0,22884.875297253227,3867.216398947904,0.0,238.47948542385194,1.0,0.0,2.0,1.0,2.0,1.0
