-,repair_cost-,repair_time-parallel,repair_time-sequential
1256,2509.7219129018877,1.6556532952027159,2.6756419931263467
1257,34311.767121520184,32.75185473718164,37.851947289170624
1258,0.0,0.0,0.0
1259,319136.90502266935,231.26648212077015,307.262246930436
1260,143640.77402732364,59.48067458817805,84.30267483673754
1261,108101.86007601066,48.172201593177896,111.25501223268334
1262,25602.42565844482,10.727420764747015,19.848423938355168
1263,74990.37253468735,23.82514532159266,41.91468329068108
1264,281661.29779688234,143.7667855993904,206.83079606588132
1265,328216.1227543853,157.5377972227355,334.8060759966668
1266,51705.464508208745,22.96870570005055,46.67016171501054
1267,83882.58550517906,44.950029302295256,77.77593322314502
1268,164115.7964449583,126.6471014436665,204.8527282615334
1269,128702.15360116192,67.41951111697618,107.83852768241076
1270,64832.62775514303,41.156108413011715,56.47068955145137
1271,35025.7257986444,19.337517481375464,27.789729387493445
1272,39180.10565961047,12.520372279070575,25.35089876690098
1273,142891.48136335128,34.17514032325104,79.93762376604182
1274,113924.18264493917,26.01517027582228,41.95257593391236
1275,302247.8561292553,151.2212738956647,240.1546975480591
1276,69334.09014938213,33.34658530976358,61.17783646167371
1277,55954.959112978075,24.326601270227243,55.105149274781645
1278,27956.99746953813,29.95578285529649,29.95578285529649
1279,90180.24466781583,61.10538678018868,85.9341917398351
1280,13038.409094881174,11.550056423972542,14.91617846968572
1281,95014.54433269505,43.48584860495449,79.74159416656644
1282,13607.925090509438,6.810605981084612,6.810605981084612
1283,131738.0905925655,22.979027881334883,82.00714930495205
1284,313857.14146945934,170.1108255471081,265.955837204853
1285,93755.06153929497,51.82115522388996,94.46449523829303
1286,35690.73917778099,18.90334965928771,27.535324551958098
1287,12930.14696774681,4.755673731459319,8.531324118541725
1288,37370.83545100537,24.43380361039693,36.47369948765133
1289,24889.086594608234,10.870059297937344,17.392713088351936
1290,53341.34373209379,30.501173477141254,46.551361114460775
1291,50516.4613218506,33.2131630612988,40.326511612298916
1292,28659.601259198247,18.817055968928997,27.930597999242124
1293,21289.180196401423,14.991517880680593,18.33380511934154
1294,148444.74053924784,46.071326580879585,67.15279623287279
1295,185938.67009177606,80.69491774610006,161.11197524534873
1296,64583.45315742244,21.394235224491204,46.13820007172633
1297,78374.71808354754,46.66922156400463,75.02949160847419
1298,166834.79478137323,93.6799973968965,150.67023701092486
1299,37116.7365518679,33.38372330254211,44.53135306553955
1300,84978.88644131678,52.67180879440902,56.87577913031346
1301,105010.61781445435,49.8654612651917,86.91677556281626
1302,35154.04846188851,19.923377155975363,29.931313246918606
1303,56436.324465752194,31.926648871214752,41.09882448268282
1304,112945.28966567574,55.6962381084099,83.19693796569311
