cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.30.67.012b-1,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.40.11.074a-2,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,D.50.12.023b-1,collapse-0,excessiveRID-0,irreparable-0
10,3723.264,700.4159999999999,0.0,0.0,811.008,589.8240000000001,3022.848,0.0,1612.8000000000004,1382.4000000000005,6220.800000000001,0.0,7833.600000000001,1382.4,0.0,0.0,5160.8,645.1,645.1,1918.4293861727517,2226.372233607429,2085.940758601376,104.92114926587905,701.0885918430179,1661.9729331674766,3097.4659120250535,303.15759193447093,2.0,4.0,2.0,4.0,0.0,1.0,2184.1853234191094,247.49945715378314,0.0,167.9536281084541,92.41577911931547,5378.550718058654,169.82827610348738,0.0,114.85931065159382,212.15166799713833,158.11922424420348,0.0,1.0,981.1524502228982,597.6037870911947,0.0,116.1216,31.3344,4.0,12.0,0.0,0.0,2.0,1.0,0.0,14749.848052730093,4281.499389367289,294.6975094354005,283.5573213903164,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
11,3686.4,737.28,0.0,0.0,589.8240000000001,847.872,2985.9840000000004,0.0,1267.2000000000003,1382.4,6566.4000000000015,0.0,7372.800000000001,1843.2000000000003,0.0,0.0,2257.85,1612.75,2580.4,2047.2184577511357,1905.392941266552,2635.807139221028,0.0,676.5867094340399,2493.8778623993257,3749.0060972011006,867.5345716040941,4.0,8.0,0.0,0.0,0.0,1.0,1972.6999123160622,269.6191400527033,28.409918817846133,204.55456485990663,95.02370086125988,4128.1973143097275,285.62637423100034,48.74709505483988,344.5161532201714,177.93146899146035,125.16915812599663,0.0,1.0,593.1745091162215,282.3003344993092,830.3553100423718,73.728,73.728,4.0,12.0,2.0,0.0,0.0,1.0,0.0,10182.191870966128,7171.9785925354145,499.3017534513176,286.4139329676672,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
12,3796.992,552.96,73.72800000000001,0.0,663.552,700.4159999999999,3059.712,0.0,1612.8000000000004,921.6000000000003,6681.600000000002,0.0,8064.000000000002,1152.0000000000002,0.0,0.0,6128.450000000001,322.55,0.0,2265.5131743625307,1511.931932896723,2953.501014838178,181.87664602387432,804.6257511312755,1987.5178485049441,4182.731979100049,1219.7725473009339,0.0,8.0,4.0,0.0,0.0,1.0,1793.8919627849023,0.0,0.0,305.62232416460523,0.0,3250.798717180514,0.0,0.0,647.471271428818,138.4067509039579,0.0,1.0,0.0,2143.8173896880326,0.0,0.0,130.8672,16.5888,8.0,8.0,2.0,0.0,0.0,1.0,0.0,21170.403251177388,794.0858890096646,0.0,240.87591690521162,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
13,3686.4,516.096,221.184,0.0,737.28,700.416,2617.344,368.64,1612.8000000000006,1152.0000000000002,5414.4000000000015,1036.8000000000004,7372.800000000001,1267.2000000000003,460.80000000000007,115.20000000000002,0.0,645.1,5805.9,2122.7908682322327,1913.8713206806158,1109.7529981488362,427.40076090411344,474.57163442023585,2422.7003986503278,2219.035064372574,842.8508907335957,0.0,10.0,2.0,0.0,0.0,1.0,1087.5234225861118,1048.0558028008443,347.8574639380453,0.0,289.4849206875212,1374.5201369713159,1540.8911450567734,315.8470047540684,0.0,0.0,616.4343127889363,0.0,1.0,513.1972046933173,854.6306546339413,730.4084300565647,16.5888,130.8672,0.0,16.0,0.0,0.0,2.0,1.0,0.0,1948.5084785327292,9544.89817471964,8671.832112632315,269.08963284138844,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
14,3612.6720000000005,258.048,258.048,294.91200000000003,737.28,774.144,2359.2960000000003,552.96,1958.4000000000005,921.6000000000003,5184.000000000002,1152.0000000000002,7603.200000000001,460.80000000000007,576.0000000000001,576.0000000000001,0.0,0.0,6451.0,2634.4094236860083,2762.9402217766224,1085.019882212042,516.3158391252458,994.9505486829883,1891.01740707354,3745.130919668395,336.7686734671602,0.0,8.0,2.0,2.0,0.0,1.0,315.8898043815409,817.7258706902927,1578.589112181392,0.0,304.8825938419339,466.4110950886221,2192.4370244884094,2170.043983850867,0.0,0.0,633.2944675073184,0.0,1.0,0.0,0.0,1783.0361263451152,0.0,147.456,4.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,1514.0408801443898,16889.47012132064,191.5173397492562,0.0,62.19769665460729,0.0,1.0,2.0,0.0,1.0,2.0,1.0
15,4018.1760000000004,405.504,0.0,0.0,663.552,737.28,3022.848,0.0,1843.2000000000005,576.0000000000001,6796.800000000001,0.0,8179.200000000001,1036.8000000000002,0.0,0.0,3225.5,1935.3,1290.2,1553.7700207261055,1348.6863194941402,2135.204377222129,79.55801355674299,447.3055542243537,2099.6815061651378,2165.5811838021305,762.7387746495274,0.0,8.0,4.0,0.0,0.0,1.0,3002.6537947625584,158.03441025066098,0.0,121.7589631593719,255.92430534298956,4170.611004134895,25.37404519955963,100.42726289203911,409.35455792806243,0.0,133.72185888774902,0.0,1.0,2047.6804616786508,0.0,280.82381896392724,103.2192,44.2368,12.0,4.0,0.0,0.0,2.0,1.0,0.0,12210.616970747742,4137.347321576796,0.0,248.00254784954353,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
16,3796.992,626.688,0.0,0.0,626.688,663.552,3133.44,0.0,1497.6000000000004,1612.8000000000004,6105.600000000002,0.0,7718.400000000001,1497.6000000000001,0.0,0.0,4515.7,1290.2,645.1,1269.7656759857216,1956.5503399047584,2063.133004401965,53.42430325816069,442.3493536997064,2305.188651185271,1239.499218013065,316.0633657217493,4.0,6.0,2.0,0.0,0.0,1.0,1347.8316236608575,54.31378835192359,0.0,222.82327181805144,68.58529082161695,4052.577745327048,0.0,0.0,622.2325870035099,0.0,0.0,0.0,1.0,2086.093075524896,516.1580143869019,0.0,119.80799999999999,27.648000000000003,12.0,4.0,2.0,0.0,0.0,1.0,0.0,18219.989393228512,6402.401992994422,333.66514117530824,209.81480377746982,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
17,3686.4,626.6880000000001,110.592,0.0,663.552,589.8240000000001,3133.44,36.864000000000004,1612.8000000000004,1152.0000000000002,6336.000000000002,115.20000000000003,7718.4000000000015,1267.2000000000003,230.40000000000003,0.0,6451.0,0.0,0.0,1800.5721223986056,2036.4883586897572,1437.610992851051,222.37766685173594,584.9515727425992,1425.9856425649978,1665.1729190700728,245.87657192659626,2.0,6.0,4.0,0.0,0.0,1.0,2183.1381310740735,0.0,0.0,274.781970903711,0.0,4329.036948352763,0.0,0.0,947.6480716752355,0.0,0.0,1.0,0.0,2832.4344928581786,0.0,0.0,147.456,0.0,12.0,4.0,2.0,0.0,0.0,1.0,0.0,27220.640080355766,0.0,0.0,207.40427603088747,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
18,3760.128,663.552,0.0,0.0,847.8720000000001,626.688,2949.1200000000003,0.0,1497.6000000000006,1152.0000000000002,6566.4000000000015,0.0,8064.000000000001,1152.0000000000002,0.0,0.0,2580.4,967.65,2902.95,3060.3616378980937,1897.8909927091431,2133.5768276337762,94.16094309260465,401.5250570519681,2474.697924367334,4037.4793919822187,1105.415148727142,6.0,2.0,4.0,0.0,0.0,1.0,1459.6327671620907,21.17687944190729,0.0,193.76920962173875,126.099176845849,3706.4190879794482,130.64192268621346,0.0,151.22816007968504,227.04635199492446,87.84934723197993,0.0,1.0,1455.9249349051331,578.0823547246055,0.0,86.6304,60.825599999999994,16.0,0.0,0.0,0.0,2.0,1.0,0.0,8876.978721569878,4916.187837452686,544.0846287213716,340.2922443529922,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
19,3465.2160000000003,958.464,0.0,0.0,737.28,479.23199999999997,3207.168,0.0,1612.8000000000006,1036.8000000000002,6566.4000000000015,0.0,7718.4000000000015,1497.6000000000004,0.0,0.0,5805.9,645.1,0.0,2313.2137790600614,2582.3538890382056,2270.318153918943,0.0,318.98262245292574,2135.085794503216,2561.6412705121784,569.0046846889262,2.0,10.0,0.0,0.0,0.0,1.0,2332.174846455846,21.270863151308312,0.0,248.35531331256175,83.37316700589183,5087.673897386508,112.57209315815007,0.0,444.86638099547224,184.93454956279658,0.0,0.0,1.0,2163.766111379443,0.0,0.0,119.80799999999999,27.648,4.0,12.0,2.0,0.0,0.0,1.0,0.0,21404.398637688486,3033.5106043680717,223.47219022097073,339.5673830480497,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0
20,3575.808,516.096,294.91200000000003,36.864000000000004,847.8720000000001,589.8240000000001,2727.936,258.048,1612.8000000000002,1036.8000000000002,5760.000000000002,806.4000000000001,7488.000000000002,806.4000000000001,921.6000000000001,0.0,0.0,967.65,5483.349999999999,1812.475479010875,2024.0180253695244,969.5512819445171,1200.7158209244208,491.63890928365464,2194.79298855092,1660.0451612127292,911.825193709148,0.0,8.0,2.0,2.0,0.0,1.0,885.7693721940742,1339.128676325796,408.5971769659306,57.57927849861424,159.6078389707182,2032.5525846819341,2067.399795906923,926.3207928214691,109.63143413152862,372.3589622291353,428.8278808214278,0.0,1.0,0.0,477.7001102570268,1487.9686349808715,14.7456,132.7104,8.0,8.0,2.0,0.0,0.0,1.0,0.0,1003.1687963441835,7159.075084277012,7460.918497701925,195.56781105195438,0.0,68.57582178799817,1.0,0.0,2.0,0.0,1.0,2.0,1.0
21,3760.128,663.552,0.0,0.0,626.6880000000001,700.416,3096.576,0.0,1497.6000000000004,1267.2000000000003,6451.200000000001,0.0,7488.000000000001,1728.0000000000002,0.0,0.0,4838.25,967.65,645.1,2328.4341831407737,1649.4244735380048,1772.7311882075142,53.164074936630925,667.2952780971398,1448.9819736274026,2332.8894518757775,837.8940028836186,2.0,4.0,4.0,2.0,0.0,1.0,2072.708492004983,31.711371374502434,0.0,363.28071263530853,0.0,5008.048646272072,0.0,0.0,453.3983214179524,190.17435725581694,0.0,0.0,1.0,1596.809087270886,0.0,0.0,134.55360000000002,12.9024,8.0,8.0,0.0,2.0,0.0,1.0,0.0,25859.97728225723,2316.428223436626,638.5049305839841,305.27909001514604,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
22,3612.672,663.552,147.45600000000002,0.0,811.008,774.144,2801.664,36.864000000000004,1728.0000000000005,1267.2000000000003,6220.800000000001,0.0,7718.4000000000015,1267.2000000000003,230.40000000000003,0.0,322.55,645.1,5483.349999999999,1987.87828692783,1395.632456275525,1728.3406519819973,482.227936002699,736.8199808977374,2488.53199414511,3008.2655552247234,315.1037915781995,2.0,8.0,0.0,2.0,0.0,1.0,1660.4488635182731,958.3853310893934,110.09015408112214,0.0,397.8619156269737,2728.1721627177294,1538.1554595877312,378.59913035030036,94.45581479866402,515.5896117043941,0.0,0.0,1.0,323.49593652831055,1373.8694491638767,315.4878020865542,29.4912,117.9648,4.0,12.0,2.0,0.0,0.0,1.0,0.0,3235.5208928419693,11936.103737687457,3113.70384604891,238.19370866986844,64.17336990559205,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
23,3833.856,589.8240000000001,0.0,0.0,626.6880000000001,663.552,3133.44,0.0,1497.6000000000004,1152.0000000000002,6566.4000000000015,0.0,7833.600000000001,1382.4,0.0,0.0,6128.450000000001,322.55,0.0,1892.1066662566072,1257.4920587923516,2473.7110943376224,382.77587741235203,862.6082174662622,1877.5374801478317,2496.249837543673,906.6471033134975,0.0,8.0,4.0,0.0,0.0,1.0,2167.316141043336,0.0,0.0,184.37630582444075,0.0,3006.4389788196863,81.04994855626413,0.0,283.28300001740007,232.80458936592427,0.0,1.0,0.0,1619.1965860178789,197.04625698400318,0.0,143.7696,3.6864,12.0,4.0,2.0,0.0,0.0,1.0,0.0,24721.98111718701,1279.2909925494391,0.0,247.3910971071406,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0
24,3502.08,921.6,0.0,0.0,663.552,774.144,2985.9840000000004,0.0,1382.4000000000005,1382.4,6451.200000000001,0.0,7718.4000000000015,1497.6000000000001,0.0,0.0,1290.2,1612.75,3548.0499999999997,1706.8599747681078,1168.6373190054562,2472.9069885542226,157.0956234820079,1140.134667188116,1798.775848370094,2572.986881979671,784.9434410874196,2.0,8.0,2.0,0.0,0.0,1.0,1863.3535263316176,305.32836580895867,0.0,182.6168383765834,196.91517626844546,3252.7043551329148,484.80469995124685,0.0,171.7462877655717,0.0,282.7474314760399,0.0,1.0,1246.9213749203745,509.1558266597319,116.02588104735825,64.512,82.944,8.0,8.0,2.0,0.0,0.0,1.0,0.0,16665.454253269498,11325.95094514939,2110.588253196347,339.65104592320915,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
25,3649.536,774.144,0.0,0.0,626.688,774.144,3022.848,0.0,1728.0000000000005,1267.2000000000003,6220.800000000001,0.0,6912.000000000001,2304.0000000000005,0.0,0.0,5805.9,645.1,0.0,1542.627618068857,1306.7763626213332,2528.458718132557,195.57443977224946,725.5313432886904,2160.5617557235164,3183.5441345145955,751.3476015615579,2.0,8.0,2.0,0.0,0.0,1.0,2318.221269820353,85.88978174114769,0.0,457.9176350860374,0.0,4345.911787591773,0.0,0.0,737.6419607362816,0.0,0.0,0.0,1.0,1860.9048469792315,0.0,328.6001875947869,117.9648,29.4912,4.0,12.0,2.0,0.0,0.0,1.0,0.0,11413.11733053764,4804.595017476931,698.4896779088074,351.15368276556774,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
26,3723.264,700.416,0.0,0.0,516.096,774.1440000000001,3133.44,0.0,1382.4000000000003,1612.8000000000004,6220.800000000001,0.0,7603.200000000001,1612.8000000000002,0.0,0.0,4838.25,967.65,645.1,1983.8758754966286,1482.0437198130746,3551.6199097031476,0.0,1120.324654137969,2369.276491821956,2720.1782210952497,530.2208664649277,0.0,8.0,4.0,0.0,0.0,1.0,1890.483561368646,137.80186089799602,0.0,172.97261264583645,58.592371956940454,3563.6016775587577,267.8283706795933,0.0,603.5087179455747,0.0,0.0,0.0,1.0,1167.252678354406,348.4958741593386,356.6993078261488,88.4736,58.9824,12.0,4.0,2.0,0.0,0.0,1.0,0.0,12505.894150564094,5557.733583261788,638.9344581633227,279.9415294487503,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
27,3796.992,626.6880000000001,0.0,0.0,700.4159999999999,589.8240000000001,3133.44,0.0,1497.6000000000004,1612.8000000000004,6105.600000000001,0.0,7833.600000000001,1267.2000000000003,115.20000000000002,0.0,5483.349999999999,645.1,322.55,1421.8558619014586,2636.641481979958,2566.755878897617,0.0,185.81055479010877,1274.3661192911552,2314.9733418054216,646.7048682087561,4.0,4.0,2.0,2.0,0.0,1.0,1429.0311682077636,46.72904519834864,0.0,329.0283878211807,52.23407747927112,4180.862832021005,199.74702167505438,0.0,345.16773229195155,0.0,82.66959500102632,0.0,1.0,1590.3927519839501,315.86490728025035,0.0,119.80799999999999,27.648,8.0,8.0,2.0,0.0,0.0,1.0,0.0,25927.58356828864,5355.940185637746,0.0,301.10721354880445,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
28,3538.9440000000004,884.736,0.0,0.0,737.28,737.28,2949.1200000000003,0.0,1382.4000000000003,1612.8000000000002,6220.800000000001,0.0,7603.200000000001,1497.6000000000001,115.20000000000002,0.0,1935.3,967.65,3548.0499999999997,1557.0225417681302,2445.8160277156285,2039.3296566574693,183.55416050583733,444.42910896431306,1912.276747339279,2865.689961369731,400.54215459435534,2.0,8.0,2.0,0.0,0.0,1.0,1407.208094718146,442.5111408133561,15.86699612690981,112.25548006668826,176.18023479948397,2063.257955574885,373.11288881463423,39.816980982806015,241.6121885587687,355.30969854154137,0.0,0.0,1.0,1222.435586634659,760.6718186187767,333.1987714855102,66.3552,81.10079999999999,4.0,12.0,0.0,0.0,2.0,1.0,0.0,6466.547237418222,11305.488632321601,3095.8063349063664,126.77783769000031,109.17046228527326,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
