dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.30.67.012b-D.30.67.012b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,COST-D.50.12.023b-D.50.12.023b,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.30.67.012b-D.30.67.012b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a,TIME-D.50.12.023b-D.50.12.023b
10,10160.329056702847,76957.22955527506,144557.12595992888,59337.08546551451,14944.771776880698,158666.81781437318,260200.7579228573,144969.6070847513,1476.431633745576,120.25101686977996,28.996563648401803,115.78211730867515,165.1370095404362,59524.42228339562,500.28613475496695,10049.529472858434,31063.573298648582,76945.39117471871,0.0,4050.7188790720948,0.0,11066.698475552466,0.0,7.7538442100238205,80.9501436414468,100.38435399184888,53.14100266926673,63.18188881620032,105.91681001422906,146.18684454558576,139.05300951985362,5.099951222419806,0.10977165672934418,0.04716398662710369,0.19969417808703713,0.20992302179376232,10.332469168682517,0.8600683354132991,11.523943677422084,42.531679109518386,21.39231652344898,0.0,4.0875773794713295,0.0,2.52797405843587,0.0
11,10216.462407003992,91097.84326874658,144576.13848009607,83716.49985643677,122158.85218795906,133622.5216226647,350697.81977056136,13049.074445123602,5145.046502808189,218.4200889839172,21.14652212218231,459.71407927777454,288.99912241538726,43995.55518170567,6102.565596883436,19099.716923720913,28544.888579334336,0.0,0.0,5199.220837367951,0.0,0.0,0.0,7.396639599826021,96.28011609214695,111.76177872865145,56.83792785267845,109.7273590567105,216.23790396884877,246.28976272325846,12.535175235524033,0.3417692191552675,0.3363408005272565,0.08447563111624448,0.7807486817192087,0.323667876313415,8.13348391151455,3.019805348454852,27.90130821130126,31.975912639557095,0.0,0.0,5.9443881767784,0.0,0.0,0.0
12,10493.075804196524,84781.00185553612,134589.2463845389,59082.9960763596,2557.1785765854997,213886.5294506124,305905.78770497505,50165.18609488588,1456.5084480736352,0.0,0.0,0.0,416.7373074046717,0.0,0.0,5078.556246773397,19676.840496906516,0.0,0.0,477.229838852065,0.0,6832.818008981313,0.0,9.548591377591181,70.65253507781982,106.48775797813718,35.90558323826353,2.3740908984437947,109.99914907005105,257.56775473828134,37.46702084023906,2.434874249607101,0.0,0.0,0.0,0.25869014815986513,0.0,0.0,7.068020910062885,23.025749357139723,0.0,0.0,0.1499259073394426,0.0,3.180147436121622,0.0
13,15601.80548870334,83917.73034520294,165628.36782898527,105686.14902366619,64330.47819662865,93052.26270952453,231991.89610653932,32499.66273376395,1385.3165205540859,1517.301533590127,116.80113908607265,3690.1928873556058,394.0494345172741,52894.60704019004,5797.085116705179,38715.417200152515,41253.61553221783,50623.47285281749,0.0,25700.512680862048,0.0,7635.567789999872,0.0,14.290836674600431,95.6460172443237,144.66285334954256,101.63692395519418,60.76879610092721,97.60424748656071,170.28262227967537,32.76486154386737,0.8064820462272978,1.8660559176670553,0.10613643871916634,4.4048736370103985,1.0898207794578632,19.633976594492264,1.9566374927657697,38.96623580338836,48.053319848578695,43.91853342531997,0.0,8.831455153544377,0.0,2.67827786093478,0.0
14,34031.19749738137,89667.32546051384,163767.2721746558,144375.18990994245,140269.9569597276,127056.92679289008,219988.62853047866,101455.99398068927,1556.550743786814,4551.430467732773,144.57929841986,26337.020000703385,517.6562120256009,44417.87150955002,12075.293307086527,39344.16664131618,29952.071011869586,0.0,0.0,55771.31678932997,290.4432376241431,9147.443982162667,0.0,30.795102481467936,100.94734097744953,117.07410193612955,123.6739168134324,150.03241059631233,115.81236246210489,159.85876250009554,81.21896146233641,2.451899471459755,5.033239723884358,0.1659836135812829,13.939761276491238,0.4989649629594443,10.706586004798968,6.1928369212296746,46.744444815034555,28.979126653607878,0.0,0.0,6.410304251810353,0.0954475775895608,3.2910260781540464,0.0
15,7505.956171118508,73675.6770811036,124621.15893412517,39335.69386583226,66194.17247461459,77426.01248014656,260902.8005407495,58129.03127172652,626.2446175619688,97.79023943904537,303.42136456483223,991.8186346002774,120.67899901035852,44477.36833713776,1636.3339953841735,12560.748286853815,8839.23735387038,69918.01134995368,0.0,1881.6317078293864,0.0,8054.163316925826,0.0,6.516872674715584,79.0840718474899,117.52490526318756,30.587038873550306,46.65314998136904,77.96968855269714,197.27347337257135,23.704805406860537,1.3197875262922683,0.10327976449702699,0.11036112936625833,0.37412146068983,0.10105217736161706,10.683620019222202,1.0714103061178712,12.582737946595818,14.0913506398007,15.582498707453857,0.0,1.8877769655518866,0.0,2.2241732896614184,0.0
16,10962.6627837098,93534.98348638834,122506.03045808211,64606.89459451397,29110.742806182032,144480.3388186344,166678.82844101288,39412.89281028308,180.1405335636935,17.3104395087563,18.079760292171194,0.0,0.0,48418.2898204212,332.2274395432142,9362.286837702668,9556.950731253793,0.0,0.0,4012.9119105999835,0.0,0.0,0.0,10.537268604634543,101.34170058110124,92.23826487234062,48.99628230706901,25.744236325757033,96.40545665707475,108.34043381602828,19.053705354675326,0.8088980767741254,0.03576052209784916,0.0252592234323783,0.0,0.0,17.429291278352878,0.2975462750180175,8.444609230439257,15.422635112969378,0.0,0.0,3.09640095169052,0.0,0.0,0.0
17,13575.470764262911,88227.2882917459,145361.2688714832,61470.57959252551,0.0,96495.83801702471,137734.83914872835,35147.90696071679,1968.8726643895266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10115.245655649405,0.0,0.0,0.0,0.0,6376.253199308649,0.0,13.99590196472968,89.77263264139056,115.29599768575346,52.04261864730218,0.0,82.22473530010996,85.10568256598911,51.78503492596782,1.5244005539532324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.246957279055591,0.0,0.0,0.0,0.0,1.5163375307849785,0.0
18,11658.862040001259,83855.38364070229,143693.15960937666,46544.50706328804,171780.77995653712,151873.17203706905,279250.8102356781,49868.41088925794,1752.8999895579318,5.250031703878073,41.40152591600994,134.98464620937068,61.71063036852129,55466.09041545851,331.3610817419603,16816.742586420107,0.0,72820.08684878393,0.0,3352.5342290634712,0.0,6605.8329536410165,0.0,9.244464848760128,94.91521919393942,100.72183568183837,36.19162266834061,70.03265290623489,103.51682996075685,221.02333493467944,39.78332859808042,2.3433419644445728,0.008690236402355472,0.045529673480477054,0.04723987253761337,0.21133363146456038,14.015321098502994,0.36305987262949296,23.38867833431503,0.0,14.74467319213611,0.0,2.978484962596977,0.0,2.9797299044457097,0.0
19,13534.21303469537,72000.76629178585,160649.2748453062,68192.14285011662,8831.235488951414,127416.38884325547,295187.4305531272,11595.6802076243,2120.7228717960525,2.7132623135148726,23.39794743989912,32.277329545628945,90.58431404094283,43020.86449794592,0.0,8162.270921412858,26488.28673580345,0.0,0.0,3023.577810696029,0.0,0.0,21053.869042126404,12.60686731248673,87.12113832363802,86.99869150308058,41.143508782032505,10.753873146016907,114.07322424036565,166.8047989737824,11.14262044336208,1.159410413359537,0.009364118651075273,0.026483399115660902,0.27629276359304056,0.06611236998753589,15.195659480126766,0.0,10.513493830923881,30.381030775049993,0.0,0.0,1.4480131190568375,0.0,0.0,6.869914354936018
