cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.30.67.012b-1,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.40.11.074a-2,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,D.50.12.023b-1,collapse-0,excessiveRID-0,irreparable-0
10,3354.6240000000003,995.328,73.72800000000001,0.0,700.4159999999999,552.96,3022.848,147.45600000000002,1036.8000000000002,1612.8000000000004,6105.600000000001,460.8000000000001,7372.800000000001,1497.6000000000001,345.6,0.0,645.1,1290.2,4515.7,1797.6934332816095,1726.1202784448917,2925.576616761815,425.1260133156037,1213.8158483338932,2249.151930128891,2847.9599107101835,628.5669006129435,2.0,8.0,2.0,0.0,1.0,1068.0150515446385,536.177888741016,126.85358593317731,134.01679952024918,189.03207115725735,2634.831928012649,1461.7048787579324,39.05686609014688,217.16896406308402,0.0,277.72304365365085,0.0,1.0,537.4348646793586,1017.1622976691596,625.5934406663687,44.2368,103.2192,4.0,12.0,2.0,0.0,0.0,1.0,0.0,5123.63220230799,9946.50902870841,3729.706469858762,185.91398973752004,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
11,3538.9440000000004,884.736,0.0,0.0,626.6880000000001,700.416,3059.712,36.864000000000004,1267.2000000000003,1497.6000000000004,6451.200000000002,0.0,7372.800000000001,1728.0000000000002,115.20000000000002,0.0,4838.25,322.55,1290.2,1866.5528310240989,1767.606621101675,2019.1784843602031,310.13054440230195,774.3523311071714,2097.255144275085,3265.978051428052,885.0401603917198,0.0,10.0,0.0,2.0,1.0,2181.5856887773084,353.0821783534768,28.918886318550545,278.1834107655695,130.9261986419479,3073.3870756071665,372.3793502071919,0.0,418.1675427682145,0.0,0.0,0.0,1.0,762.8945474791797,890.4152373397536,546.9263793474908,97.6896,49.7664,8.0,8.0,2.0,0.0,0.0,1.0,0.0,16872.646813855936,6919.313604638555,1073.0061817417588,271.38530966353636,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
12,3465.2160000000003,774.144,184.32,0.0,811.008,479.232,3096.576,36.864000000000004,1612.8000000000006,1036.8000000000002,6105.600000000001,460.8000000000001,7372.800000000001,1843.2000000000003,0.0,0.0,3225.5,1612.75,1612.75,2296.1402666808312,1481.1292592658208,2080.8355720728764,162.35230276754774,645.2819525902564,2661.2292725827965,3960.3971099058344,826.9117301433411,2.0,2.0,8.0,0.0,1.0,1354.1561035382879,290.1207111590565,95.62072904448257,0.0,226.0231449059896,4573.879218444407,913.0873390741672,0.0,727.9408688297328,0.0,0.0,0.0,1.0,557.8339972697449,834.5883773032916,620.2509531544148,57.1392,90.3168,0.0,16.0,2.0,0.0,0.0,1.0,0.0,10556.309953966236,10332.298506776788,2870.133373524995,262.6729439305069,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
13,3280.896,1142.784,0.0,0.0,737.28,847.872,2764.8,73.72800000000001,2073.6000000000004,921.6000000000003,6220.800000000001,0.0,7603.200000000001,1612.8000000000002,0.0,0.0,1612.75,2580.4,2257.85,2703.6350420162817,1122.4596207291834,2773.380031110899,696.4721009216787,495.50527247142224,1554.246855324139,2825.7000548586934,934.0766653478884,2.0,10.0,0.0,0.0,1.0,1525.4605677021705,419.8892451025882,0.0,0.0,278.7772201483209,3812.239513117148,981.8005889617211,36.3200811000866,71.0161919583996,428.9942719727881,0.0,0.0,1.0,324.6369337930772,1496.019453771654,129.42510406227493,73.728,73.728,0.0,16.0,0.0,2.0,0.0,1.0,0.0,9053.029724186286,11205.414280762703,3286.582853277203,105.0276354568303,48.861235587568544,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
14,3465.2160000000003,958.464,0.0,0.0,737.28,700.416,2985.9840000000004,0.0,1843.2000000000005,1036.8000000000002,6336.000000000001,0.0,7257.600000000001,1958.4000000000003,0.0,0.0,4193.15,1612.75,645.1,1460.4650502546715,1851.9409388188708,2814.666495370441,59.406611173875646,929.4726562072622,1842.8339288174914,1672.994942649376,1011.2620617073295,0.0,6.0,4.0,2.0,1.0,1708.4064042306284,145.91711114770547,0.0,179.7645875902604,113.791086611857,4429.938493299703,40.88084414174896,0.0,372.19313460932614,317.344649316836,0.0,0.0,1.0,1729.3125375138866,718.5960421552161,0.0,116.1216,31.3344,8.0,8.0,0.0,2.0,0.0,1.0,0.0,15173.984890377134,6403.18562518392,568.1332427540899,285.8145326790636,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
15,3354.6240000000003,737.28,258.048,73.72800000000001,663.5520000000001,700.4159999999999,2838.5280000000002,221.184,1382.4000000000003,1382.4000000000003,5644.800000000001,806.4000000000001,7603.200000000002,1267.2000000000003,345.6,0.0,645.1,645.1,5160.8,1924.187023305586,2495.077030390915,2033.0212540777,583.9077190621863,395.66494011793804,1664.7692773891758,2453.5497932842713,434.72254928881534,2.0,6.0,2.0,2.0,1.0,1024.1848863593946,741.7389597918975,190.2367913426573,59.930600328782944,275.23830949811656,1895.0905407439548,2099.60872678772,187.9767410691785,0.0,0.0,674.7119022344923,0.0,1.0,536.0231687766623,195.40230109566252,1333.2553763318663,25.8048,121.65119999999999,0.0,16.0,2.0,0.0,0.0,1.0,0.0,2052.5395089230765,10083.649862504411,7099.1823361490915,297.4749322804274,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
16,3723.264,700.416,0.0,0.0,663.552,663.552,3096.576,0.0,1382.4000000000003,1612.8000000000004,6105.600000000002,115.20000000000003,6796.800000000001,2419.2000000000003,0.0,0.0,5160.8,645.1,645.1,2267.1929960297275,2106.8452364538343,2898.923961760581,54.90908535796749,1031.396103596161,1961.2925159599313,2738.3933639695697,672.2868199326449,0.0,10.0,2.0,0.0,1.0,2082.8626637316115,60.93230315847472,0.0,230.94651824966937,42.60933428751139,3812.7267128355707,0.0,0.0,311.12970754403375,112.25853438037278,278.24962284838074,0.0,1.0,1275.5537519597583,228.62035533336783,0.0,110.592,36.864000000000004,8.0,8.0,0.0,2.0,0.0,1.0,0.0,21285.206739369467,5400.440127764105,663.0991445750194,203.85073311485016,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
17,3612.672,811.008,0.0,0.0,774.144,663.552,2985.984,0.0,1612.8000000000004,921.6000000000001,6681.600000000002,0.0,7027.200000000001,2188.8,0.0,0.0,5805.9,322.55,322.55,2270.236007564243,1904.008809819803,2128.14124930675,0.0,632.3165286328256,1607.8107573732404,2818.487557845837,767.9052246531352,0.0,8.0,2.0,2.0,1.0,1677.3856368575098,47.419556023998425,0.0,173.88492102051362,215.4763474818056,4281.709920962407,272.89922958882136,0.0,336.42091945413574,173.50880399716678,0.0,0.0,1.0,1649.6755781942552,207.5791779723276,0.0,123.4944,23.9616,4.0,12.0,0.0,2.0,0.0,1.0,0.0,17567.22421689936,5817.321944609014,365.0759758108725,221.44594796577394,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
18,3538.9440000000004,847.8720000000001,36.864000000000004,0.0,626.688,774.144,3022.848,0.0,1497.6000000000004,1728.0000000000005,5990.4000000000015,0.0,7948.800000000001,1267.2000000000003,0.0,0.0,5160.8,967.65,322.55,1412.074158670349,1242.745772767292,1340.1902742158247,200.98143291465874,701.695817439574,2146.719297406254,3708.077494539743,657.6885836891646,2.0,10.0,0.0,0.0,1.0,1768.4674831504149,24.60538787636878,0.0,216.51984378282305,58.319892855524216,3444.844039981213,66.55547422047051,0.0,568.2069466236608,0.0,0.0,0.0,1.0,1718.0301510742863,150.47334244102512,271.37992110301946,138.24,9.216,4.0,12.0,2.0,0.0,0.0,1.0,0.0,21049.55917505867,140.3869676659363,471.48687283642374,211.87154630883072,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
19,3723.264,700.4159999999999,0.0,0.0,884.7360000000001,405.504,3133.44,0.0,1728.0000000000005,806.4000000000002,6566.4000000000015,115.20000000000003,7603.200000000001,1612.8000000000002,0.0,0.0,4515.7,1290.2,645.1,2140.4223975596387,1264.1995769035418,1619.6300269258602,439.2505575970527,1248.9721738691967,1282.8967530796588,2094.6243986119516,628.9043608263446,0.0,8.0,4.0,0.0,1.0,1266.4249198064545,132.30898061588493,0.0,233.3615513277148,68.52213934632636,3817.3547222846055,439.1257821085183,0.0,407.85421535218836,171.18139416191033,0.0,0.0,1.0,1109.1063139801456,730.7652635519349,160.11294128585052,86.6304,60.8256,4.0,12.0,0.0,2.0,0.0,1.0,0.0,13229.715583355977,8526.542555883632,133.33186477651424,245.49120593944377,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
20,3502.08,774.144,147.45600000000002,0.0,663.552,663.552,2949.1200000000003,147.45600000000002,1612.8000000000004,1152.0000000000005,5990.4000000000015,460.8000000000001,6796.800000000001,2188.8,230.40000000000003,0.0,1935.3,1612.75,2902.95,1649.4744894256664,1402.7011852470805,2151.4369470896427,588.220554307457,785.9070843072651,1814.710146681639,3406.246015633033,743.2347873513874,2.0,10.0,0.0,0.0,1.0,1427.176181689597,633.9031161867506,57.622526766505985,60.6631157418546,164.5174815971316,3988.16108101792,2076.8175811211786,0.0,85.02316054165424,290.6090406531731,105.73785994618761,0.0,1.0,305.0656180259895,1311.9174836587224,274.1341990824699,33.1776,114.2784,4.0,12.0,2.0,0.0,0.0,1.0,0.0,5614.114057849637,10030.149067807995,3486.9124124031778,196.66883984859393,33.89376589329015,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
21,3354.6240000000003,847.8720000000001,184.32,36.864000000000004,811.008,368.64000000000004,2912.2560000000003,331.776,1036.8000000000002,1843.2000000000003,5760.000000000001,576.0000000000001,7488.000000000001,1152.0000000000002,576.0000000000001,0.0,322.55,322.55,5805.9,2143.446976391392,1201.4016043811705,1563.2666542688369,552.210577330881,752.4401442082983,1582.558867846226,2069.346479380632,555.5100742197374,0.0,8.0,4.0,0.0,1.0,980.7621887317761,1371.5818082847222,123.807578790342,0.0,234.15237618718064,1916.8526840708987,1576.2877259475822,333.67203471270255,169.88913876315894,157.61419737125735,123.16512665926788,0.0,1.0,0.0,550.3069120289327,1774.3656592603638,22.1184,125.3376,0.0,16.0,2.0,0.0,0.0,0.0,1.0,4009.1006345621554,8000.892322456065,6814.0438717379975,194.50411149349048,38.461435410053255,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
22,3502.08,589.824,258.048,73.72800000000001,479.232,921.5999999999999,2691.072,331.776,1267.2000000000003,1267.2000000000003,5990.4000000000015,691.2000000000002,7372.800000000001,1382.4,345.6,115.20000000000002,1290.2,322.55,4838.25,2988.2623530331607,2097.982867209575,1689.4060146948214,346.9470120842552,718.9951898177869,1970.5657186920416,2004.525056772362,1112.9909258792688,4.0,4.0,2.0,2.0,1.0,1280.9762059144073,929.284411691012,33.05739015456477,65.1695269379627,269.0945692397581,2322.038555241971,1207.7166033046976,255.05245819384103,0.0,142.96909091750598,459.41427636054897,0.0,1.0,0.0,762.3616879690632,909.698456840774,18.432000000000002,129.024,0.0,16.0,2.0,0.0,0.0,1.0,0.0,5830.559104375823,14043.292715533464,8013.181809634511,176.41381860609619,37.69558809334555,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0
23,3575.808,331.776,479.232,36.864000000000004,774.144,516.096,2727.936,405.504,921.6000000000001,2188.8,5068.800000000001,1036.8000000000004,6912.000000000001,1843.2000000000003,460.80000000000007,0.0,0.0,322.55,6128.450000000001,1819.6280036964247,2392.47416748471,2737.559518024841,797.7906290887373,616.1633602984671,2182.8427679525994,3514.223111193114,470.53429491477647,2.0,8.0,0.0,2.0,1.0,781.6085704732182,790.9080314039043,315.92675299144975,0.0,353.9862362213089,1645.8354252862396,2469.022587984281,221.85652841245783,0.0,0.0,722.1692425061356,0.0,1.0,0.0,364.18932493399234,1392.1378131983688,7.3728,140.0832,4.0,12.0,2.0,0.0,0.0,1.0,0.0,1458.6688845178442,7238.800728653318,8032.149626321999,164.44144629044064,0.0,42.8433385042023,0.0,1.0,2.0,0.0,1.0,2.0,1.0
24,3280.896,995.328,110.592,36.864000000000004,663.552,847.8720000000001,2617.344,294.91200000000003,1382.4,1382.4000000000003,6105.600000000001,345.6000000000001,7142.4000000000015,2073.6,0.0,0.0,967.65,1290.2,4193.15,1246.560997373214,1578.7150790161918,1920.9861881926524,471.59537808005797,840.2154499431492,2492.632796743204,2044.9727503428417,911.0597669680329,2.0,8.0,0.0,2.0,1.0,1339.6047886562167,816.8256422664547,14.769031373688128,0.0,245.05104231332726,2590.4471304294357,1931.4745719496136,122.89790790642678,103.24110746982758,114.45705367204665,264.95262035956983,0.0,1.0,439.88822270429927,748.4556337491737,230.6581299058268,27.648,119.80799999999999,4.0,12.0,2.0,0.0,0.0,1.0,0.0,6020.675830572458,9869.717976200156,5799.751295951044,83.02071004990344,92.80098701313105,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0
