cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.002-3,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.40.11.074a-2,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,D.50.12.023b-1,collapse-0,excessiveRID-0,excessiveRID-1,irreparable-0,irreparable-1
4391,4423.68,0.0,0.0,0.0,2506.752,1769.472,147.45600000000002,0.0,5299.200000000001,3801.600000000001,115.20000000000003,0.0,9216.000000000002,0.0,0.0,0.0,4515.7,1612.75,322.55,4653.465681297403,308.95520822288915,0.0,0.0,2946.3907976568353,3681.02695638182,0.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,1315.2239335152326,61.45475958435646,18.662616039661064,251.3926731273286,0.0,4503.142147215585,92.49020259684015,0.0,219.79527009657397,429.46306457447486,0.0,0.0,1.0,1635.493390845446,357.18888914094714,0.0,110.592,36.864,8.0,8.0,2.0,0.0,0.0,1.0,11404.9372052134,3483.4662881233353,151.46594165326152,228.2558898695219,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4392,4018.1760000000004,405.504,0.0,0.0,1327.104,1327.104,1769.4720000000002,0.0,3225.600000000001,1958.4000000000005,4032.000000000001,0.0,8409.600000000002,806.4000000000001,0.0,0.0,4838.25,645.1,967.65,3400.1252739162746,789.6002280350492,2086.2810919418966,125.61104578727422,1936.512911212379,2170.1997959259465,2003.681897220519,322.5394947105193,6.0,4.0,2.0,0.0,1.0,0.0,2363.98543390517,48.506246170864635,0.0,248.6471765699115,0.0,2523.4860467097596,83.03631833664225,0.0,331.926783836857,0.0,92.50230295645997,0.0,1.0,2407.892953565853,0.0,0.0,134.5536,12.9024,12.0,4.0,2.0,0.0,0.0,1.0,17622.405734666154,3404.334790210536,358.5211035012852,233.49710994587338,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4393,3686.4,700.416,36.864000000000004,0.0,1253.376,1069.056,2101.248,0.0,2534.4000000000005,2073.6000000000004,4608.000000000001,0.0,7948.800000000001,1152.0,115.20000000000002,0.0,3548.0499999999997,1935.3,967.65,3320.381344692307,955.7064702804485,1343.213039317865,0.0,1268.8746827638336,2385.553287016558,2069.868036157794,805.5573717196723,6.0,6.0,0.0,0.0,0.0,1.0,2553.7585253499337,425.9139629920558,0.0,217.22795992487997,60.23147457915865,4007.9780237877753,754.3876738384072,0.0,363.164191871979,260.98486340427684,0.0,0.0,1.0,1439.0356832722262,0.0,134.8094742291461,92.16,55.29599999999999,8.0,8.0,2.0,0.0,0.0,1.0,12202.636850553854,6760.313506431493,1807.1042160746376,320.9570422709859,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4394,4386.816000000001,36.864000000000004,0.0,0.0,1548.288,1548.288,1327.104,0.0,3340.800000000001,2880.000000000001,2995.2000000000007,0.0,9216.000000000002,0.0,0.0,0.0,3870.6,967.65,1612.75,4052.155194058315,1698.9259382745252,147.06774949212684,0.0,1224.6073893245805,2938.51595995383,482.1465388599281,220.1386113816525,6.0,6.0,0.0,0.0,1.0,0.0,1954.9290687869698,36.067423066274614,0.0,212.2403880066249,72.77009325970847,3261.54862987251,60.60288219471612,0.0,300.9414780764533,68.63515330532367,0.0,0.0,1.0,1237.249840828142,199.61691571696568,216.1455543681388,112.43520000000001,35.0208,4.0,12.0,0.0,2.0,0.0,1.0,18395.54750720547,3947.9576607992162,516.264417791963,250.23343314582547,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4395,4313.088,110.592,0.0,0.0,1363.968,1142.784,1916.928,0.0,2764.8000000000006,1843.2000000000003,4608.000000000002,0.0,8755.2,460.80000000000007,0.0,0.0,6128.450000000001,322.55,0.0,3468.117867748349,3988.3951798136163,279.20647908064893,0.0,1827.135202165121,2954.7997032144367,1201.9457684083222,561.0953595899107,10.0,0.0,2.0,0.0,1.0,0.0,2093.911982467551,158.04450079025415,0.0,279.4830601808902,0.0,4215.577914356992,184.15068224735336,0.0,418.49390629683717,0.0,0.0,0.0,1.0,1477.002012441118,645.0002015411313,0.0,116.1216,31.3344,8.0,8.0,2.0,0.0,0.0,1.0,14053.034508989269,1502.324886234085,178.90294233899192,273.577511946888,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4396,4423.68,0.0,0.0,0.0,2248.704,1216.512,958.464,0.0,5760.000000000002,1152.0000000000005,2304.000000000001,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4074.6591108997764,934.3963383598729,192.45794850233676,0.0,3474.7941281675603,2676.800401477144,668.9987330118347,104.59713675956996,8.0,4.0,0.0,0.0,0.0,1.0,1980.3119186591873,0.0,0.0,290.60173239725555,0.0,4964.504200359618,0.0,0.0,697.3859966133275,0.0,0.0,1.0,0.0,2004.570585157444,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,19706.914179668584,0.0,0.0,230.43946497449042,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4397,4349.952,73.72800000000001,0.0,0.0,1327.104,1142.784,1953.792,0.0,2534.4000000000005,2995.2000000000007,3686.400000000001,0.0,9100.800000000001,115.20000000000002,0.0,0.0,6128.450000000001,322.55,0.0,3668.330075367482,3003.5128747419412,444.1459124601595,0.0,1650.4657832711891,2605.2317679826338,454.6491990149273,326.9009070377092,4.0,8.0,0.0,0.0,0.0,1.0,2273.1259700277546,31.953358318772167,0.0,150.4032063329693,63.4588274825274,5715.546954184092,55.69061806612915,0.0,536.8092894826227,0.0,0.0,0.0,1.0,1529.5771227756477,0.0,0.0,141.9264,5.5296,8.0,8.0,2.0,0.0,0.0,1.0,17190.495757679695,1162.4883631765408,0.0,253.68145720166024,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4398,4165.6320000000005,258.048,0.0,0.0,1327.104,847.8720000000001,2248.704,0.0,2419.2000000000007,1958.4000000000005,4838.4000000000015,0.0,8064.000000000001,1152.0,0.0,0.0,5483.349999999999,322.55,645.1,4730.05485994763,2030.8911771252438,1180.5251422851507,0.0,2397.015098017456,2566.345688757175,1587.0308107591775,588.3067008076439,8.0,2.0,2.0,0.0,0.0,1.0,2229.352779853333,15.698968164355929,0.0,241.64229554846878,0.0,3575.605078432684,78.15062890414907,0.0,675.978835115349,0.0,0.0,0.0,1.0,1916.2603247514658,0.0,0.0,134.5536,12.9024,4.0,12.0,2.0,0.0,0.0,1.0,11963.970732313832,952.9798711672825,0.0,194.88456524896725,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4399,4386.816000000001,36.864000000000004,0.0,0.0,2506.7520000000004,1216.512,700.4159999999999,0.0,4608.000000000001,3110.4000000000005,1497.6000000000004,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,5161.644562274352,806.4567575533349,0.0,0.0,2353.0504095180463,3147.770272598766,489.69301372984984,0.0,8.0,4.0,0.0,0.0,1.0,0.0,2319.3240502226136,0.0,0.0,237.9869169730312,0.0,3941.715354410776,0.0,0.0,843.3520932954518,0.0,0.0,1.0,0.0,2305.8320086795798,0.0,0.0,147.456,0.0,12.0,4.0,2.0,0.0,0.0,1.0,23127.626836862575,0.0,0.0,181.443855094658,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4400,3870.7200000000003,552.96,0.0,0.0,1105.92,958.4639999999999,2359.2960000000003,0.0,2534.4000000000005,1728.0000000000005,4953.600000000001,0.0,7948.800000000001,1267.2000000000003,0.0,0.0,6451.0,0.0,0.0,1807.3455311712025,1444.9752779286669,1379.0578497121796,0.0,904.2567882104624,1882.480442849816,2149.3180894976667,193.58692753668547,2.0,8.0,2.0,0.0,0.0,1.0,2136.347451922624,25.59529298748453,0.0,386.65189669467065,0.0,4529.544980517199,0.0,0.0,513.3836839902187,0.0,0.0,0.0,1.0,2228.263817225922,298.01909871376847,0.0,136.39679999999998,11.0592,8.0,8.0,2.0,0.0,0.0,1.0,25009.828297377993,1568.892035266608,0.0,177.13300636627812,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4401,4386.816000000001,36.864000000000004,0.0,0.0,958.4639999999999,1327.104,2138.112,0.0,1958.4000000000005,2880.000000000001,4377.600000000001,0.0,8870.400000000001,345.6,0.0,0.0,6451.0,0.0,0.0,3049.871770610013,2618.0766175840445,183.60454075562052,0.0,1218.111832814145,3444.942311362343,1024.6139012226645,79.99459383904025,4.0,8.0,0.0,0.0,0.0,1.0,1955.6933922942378,0.0,0.0,242.40043081065386,0.0,3327.940995149262,0.0,0.0,410.00563449700684,0.0,0.0,1.0,0.0,2007.7643393088015,0.0,0.0,143.7696,3.6864,4.0,12.0,2.0,0.0,0.0,1.0,18175.358883724817,586.277588922503,0.0,213.04175235736489,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4402,4091.9040000000005,331.776,0.0,0.0,1142.784,442.368,2838.5280000000002,0.0,1728.0000000000005,1382.4000000000003,6105.600000000001,0.0,8640.000000000002,576.0,0.0,0.0,5160.8,967.65,322.55,2174.0710136146236,2965.125376052203,1242.6882847943177,0.0,538.7695371247968,1934.588664337659,2584.227752603766,486.4790976714441,2.0,10.0,0.0,0.0,0.0,1.0,1789.8773852553722,70.37850062405312,0.0,375.9341421474793,0.0,3433.268672004613,129.1437811361924,0.0,488.9770983415142,121.24005124431699,0.0,0.0,1.0,1959.7733838051033,333.9992136513415,0.0,134.5536,12.9024,8.0,8.0,2.0,0.0,0.0,1.0,19210.323160094908,2078.447455123003,0.0,206.84233438784406,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4403,4423.68,0.0,0.0,0.0,2838.5280000000002,1253.376,331.77600000000007,0.0,5990.4000000000015,2880.000000000001,345.6000000000001,0.0,9216.000000000002,0.0,0.0,0.0,3548.0499999999997,1935.3,967.65,4891.798678067609,668.9178306972248,71.85021556815052,0.0,3849.119621293451,2089.3726086802635,85.03070959812453,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1714.9257450058492,50.878336639227975,0.0,223.8567329633605,110.01747925666675,5003.578678482707,0.0,0.0,308.4903652949,105.99770882243774,0.0,0.0,1.0,1248.8036387329266,0.0,603.735766182301,103.2192,44.2368,12.0,4.0,0.0,2.0,0.0,1.0,15235.399911047123,2965.6687910035066,495.2777229153155,196.9331445810459,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4404,4423.68,0.0,0.0,0.0,2912.2560000000003,1290.24,221.18400000000003,0.0,6336.000000000002,2649.600000000001,230.40000000000006,0.0,9216.000000000002,0.0,0.0,0.0,5805.9,0.0,645.1,4393.237713729572,421.77713988842373,0.0,0.0,3526.6046655223445,3032.8956391609845,85.6554443119627,85.6554443119627,10.0,2.0,0.0,0.0,0.0,1.0,3236.4284200957864,0.0,36.36611093756334,275.59659801284164,0.0,3527.3016193719855,144.69868527169734,0.0,249.6251733612857,352.4540506537128,0.0,0.0,1.0,845.1768832388946,820.7182898226029,0.0,112.4352,35.0208,12.0,4.0,2.0,0.0,0.0,1.0,16886.11975253341,4444.525257333078,773.4916001172098,270.92827574592917,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4405,3981.312,442.368,0.0,0.0,1105.92,995.328,2322.4320000000002,0.0,2419.2000000000007,1612.8000000000004,5184.000000000002,0.0,8524.800000000001,691.2,0.0,0.0,6128.450000000001,322.55,0.0,2370.831682817611,1777.0232342651616,1521.4222734872503,0.0,862.4625920607846,2901.796697139266,2463.958465217871,298.1990219983087,4.0,6.0,2.0,0.0,0.0,1.0,2145.716015126997,33.42505812496235,0.0,226.8012162055085,45.75879672470995,3052.438635333263,50.138624220674366,0.0,479.4844808847944,104.12081471324193,0.0,0.0,1.0,2029.942973575402,0.0,0.0,143.7696,3.6864,8.0,8.0,2.0,0.0,0.0,1.0,20638.191169337162,2232.989672514468,0.0,309.38883932551505,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4406,2949.12,884.736,368.64,221.184,774.144,552.96,2506.7520000000004,589.8240000000001,1612.8000000000004,1612.8000000000004,4608.000000000001,1382.4000000000005,6105.600000000001,1958.4000000000003,576.0000000000001,576.0000000000001,2580.4,2580.4,1290.2,1293.1459219258315,848.2471929695789,1614.63201814079,717.903143631781,787.5803835302822,1653.6255597623383,2885.3520768653843,892.008144158838,4.0,4.0,4.0,0.0,1.0,0.0,1977.3731920412536,342.7516009335041,0.0,175.33432877596678,60.87678844445722,3683.3866642692315,1345.5856759331132,0.0,335.95955891080723,214.47728296836007,135.62847357844288,0.0,1.0,392.1576917888189,984.1096130397665,289.5296912818958,70.04159999999999,77.4144,8.0,8.0,0.0,2.0,0.0,1.0,9101.842165997728,9759.90414764498,2280.2238667495553,191.76437461638238,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4407,3428.352,958.464,36.864000000000004,0.0,995.328,516.096,2875.392,36.864000000000004,2073.600000000001,1152.0000000000005,5875.200000000002,115.20000000000003,7603.200000000002,1612.8000000000002,0.0,0.0,4838.25,967.65,645.1,2348.672677885967,2551.397993838378,1650.253529550696,294.4855196744069,801.3447754383294,2351.2143383519347,1146.5969053382128,762.6896282242482,6.0,4.0,2.0,0.0,0.0,1.0,2801.8075409569988,106.67942555494098,0.0,364.24009983760726,0.0,4089.2112792860135,228.5229510630086,0.0,316.8223524836824,97.59540603730102,0.0,0.0,1.0,1807.1411067244542,186.1706667657479,0.0,110.592,36.864000000000004,12.0,4.0,2.0,0.0,0.0,1.0,12401.628767532293,2973.484250470224,437.8853574041891,229.98931977629917,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4408,4423.68,0.0,0.0,0.0,2285.568,2027.52,110.59200000000001,0.0,4608.000000000001,4032.000000000001,576.0000000000002,0.0,9100.800000000001,115.20000000000002,0.0,0.0,6451.0,0.0,0.0,4665.235937635179,1139.2203099585545,0.0,0.0,2508.686953324738,2661.145981478924,0.0,0.0,8.0,4.0,0.0,0.0,1.0,0.0,1719.0187840940803,0.0,0.0,266.972230201846,0.0,3569.1319096435464,0.0,0.0,790.2832455644091,0.0,0.0,0.0,1.0,2040.941987585282,0.0,0.0,143.7696,3.6864,16.0,0.0,2.0,0.0,0.0,1.0,24113.549961462522,0.0,0.0,281.0546742672851,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4409,4423.68,0.0,0.0,0.0,1437.6960000000001,2396.1600000000003,589.8240000000001,0.0,2880.000000000001,5184.000000000001,1152.0000000000002,0.0,9216.000000000002,0.0,0.0,0.0,4193.15,1935.3,322.55,4744.487510970121,1342.2830461214207,0.0,0.0,1398.1940079003389,3985.623577402688,289.1383750082512,101.83141732688492,8.0,4.0,0.0,0.0,0.0,1.0,1672.182826906785,90.27483665810172,0.0,179.82987876536936,26.758720818695053,3080.663559003693,118.0420877463374,0.0,477.3243836132189,0.0,95.69781170529627,0.0,1.0,886.9527000785463,658.9713999547229,0.0,121.65119999999999,25.8048,8.0,8.0,2.0,0.0,0.0,1.0,20840.723712525327,5116.490342240365,0.0,245.79670685429687,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
4410,2433.0240000000003,700.416,368.64000000000004,921.6,626.688,626.6880000000001,1990.6560000000002,1179.6480000000001,691.2000000000002,1728.0000000000005,4262.4000000000015,2534.4000000000005,4492.800000000001,1843.2000000000003,1152.0000000000002,1728.0000000000005,5160.8,1290.2,0.0,1360.287022756361,1406.1723193446715,1007.6780770248217,1926.8327010054393,287.0681400339861,1682.4724001480731,2436.313009465182,893.3666624914267,2.0,2.0,2.0,6.0,0.0,1.0,1893.1673788651483,132.7522438638061,0.0,146.33117490821002,183.7610457508075,4071.868243526788,197.8735061618574,0.0,543.5488814880564,0.0,0.0,0.0,1.0,1781.07041165324,0.0,0.0,117.9648,29.4912,12.0,4.0,2.0,0.0,0.0,1.0,14517.955748196167,1959.9096976667663,193.9336062823069,222.7973855525915,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0
