dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,COST-D.50.12.023b-D.50.12.023b,COST-replacement-irreparable,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a,TIME-D.50.12.023b-D.50.12.023b,TIME-replacement-irreparable
84.1%,9500.246233465432,84430.5732824547,128820.8916138492,48743.90032774407,60196.28373014264,106901.04952051274,221530.78678041504,42804.82159633939,3130.0187273429638,84.3315775533562,57.19925784605524,330.5657932955161,197.2893395387853,58778.53029791271,1767.4554770250677,13532.257593128099,26585.27856199843,0.0,5318.235367785502,0.0,7864.575962546387,0.0,0.0,9.31442126268036,85.38671374336339,105.3010393936844,40.21503504478713,67.12618899087117,83.98599708120084,177.48224287545494,34.46670717411004,3.0331636412683785,0.09287779004007131,0.06242766899726442,0.35286845490869206,0.21443391722435984,18.272576501734722,1.1019796136696438,15.697734483074127,31.30996794661923,0.0,4.0837664651322605,0.0,2.4169817326124163,0.0,0.0
90%,11762.696206142731,90534.83713118185,137196.7834021284,71362.4437904716,78360.97971875848,129820.03764554503,236236.81976545672,55672.47517178174,4002.505395848742,145.54909723204642,78.17372375371394,618.6097721019177,287.3872050117369,62031.57448764274,2749.146284945098,17425.33106084452,29058.640773976076,0.0,7910.882796416899,0.0,8691.886701976382,0.0,0.0,11.762735809183036,92.68644868904202,113.01692851962575,57.71703442857051,88.15326670553475,104.1005715625799,190.9525183438476,44.092996272645145,3.9797800176628986,0.15663523471373,0.08656490154633396,0.6629459808582556,0.30836273282897714,20.096291187138362,1.5901390193506546,20.316758050039994,36.09654204285381,0.0,5.56865895635696,0.0,2.8792009903062374,0.0,0.0
97.7%,25830.266898781738,105881.0911001816,162450.37542398262,157707.69541915215,116242.48256442478,197009.0467220467,272410.39257166686,117137.59987035925,7595.35266978119,457.88037991505047,148.6798567687831,2058.6747172585306,538.5220871374606,70789.66441079444,6206.821100970907,26596.992960109215,37461.1821214584,51656.49231838281,18036.153562948235,0.0,10682.003744948428,0.0,0.0,26.2083068498403,109.82158650456702,135.5049379152681,125.8681062760155,140.45339112703812,162.43609199164226,223.59592624734066,97.10066538296938,7.5951484415688935,0.5097996814342,0.16900006675795465,2.353739948617072,0.6062280209680729,25.572291280618142,3.199242693399026,32.51056811640916,45.566343669757146,13.098435801508588,9.159599172370683,0.0,4.032684716284208,0.0,0.0
99.9%,56209.948525559514,129885.95105116283,203974.8813376198,301645.69459370745,206559.6157965219,333140.3714058302,332005.0702569886,175060.07621371874,19167.17174828485,2041.3091117503318,281.19313674343726,8011.10341527032,1163.3171544945385,85801.81139468624,11331.254996606727,39330.44852778585,43692.09715389757,84008.53328608524,42186.389492189264,764.214361134307,13864.860058501747,19045.219590971883,7133204.432381172,59.9297102282304,136.8076472522754,181.53215342616207,246.62734512943163,275.3053084688876,268.25336777233014,283.3875236444166,159.62721462930716,20.47034013577167,2.3756864228069414,0.35429290557340243,8.49229929986571,1.3042496823769893,36.074250924126034,5.402533602586474,49.934486807997736,57.9186271075609,30.785870159982522,14.74790119554461,0.6054881566787792,5.663084482801068,5.207529273499356,730.3749698452028
max,63954.549178516296,139318.9081610819,226817.4690846421,374574.5739363977,251789.24822236394,513814.085887942,369219.5144602823,193064.38580906249,29359.180115567535,2369.614478453186,398.4313150281013,16661.334457951125,1702.872570976119,99573.1465902786,13890.87646488829,49351.01944860365,44886.47406834588,93911.19020238887,52000.35988598231,1237.954515571947,14664.395648217482,27775.483295266178,7133226.986571559,65.71504496833447,164.21603127565353,209.16940783276507,356.55502089510657,376.9302066859751,393.02511820230416,313.12188528876624,187.66802576792708,37.671588759405,3.0229130725536812,0.5906195625018399,22.361357690602446,2.7258694295253996,43.230660721977834,5.841873984008117,56.75852847302408,68.46334880236613,39.91377221650863,18.786699524638383,1.5149003498223534,6.960954604894254,8.227787438694213,730.8149257949395
