dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,COST-D.50.12.023b-D.50.12.023b,COST-replacement-irreparable,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a,TIME-D.50.12.023b-D.50.12.023b,TIME-replacement-irreparable
1463,0.0,23787.911300483072,33041.51587181509,0.0,0.0,5287.1323562607095,19591.045658661442,13730.93423186632,4737.627253029084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.13741769151132,31.506497224664287,0.0,0.0,5.658331667466215,22.5493831718183,8.572575885975962,1.2796459413866017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1464,0.0,51348.074757225,80810.9971877508,0.0,0.0,17300.7416159505,122686.53585282361,0.0,1908.276131011124,0.0,0.0,0.0,0.0,74856.93452021814,0.0,1374.754670357764,9946.874433598547,0.0,10.16185651605016,0.0,0.0,0.0,0.0,0.0,47.53298588300199,70.13654467598569,0.0,0.0,18.99874670189515,77.24232954494137,0.0,3.2801550237304036,0.0,0.0,0.0,0.0,11.141867477956287,0.0,0.8142999732796639,12.759136119428712,0.0,0.07173291885015379,0.0,0.0,0.0,0.0
1465,7082.3476466438,85729.22764555812,117617.45553356309,20053.065641740333,11846.905377416288,44061.19174867325,184882.69468137887,15016.252343234108,3321.7414723363995,89.02345340486235,54.985754806452896,30.053859935438844,236.4961800086012,45041.94165167809,370.5963251906916,5711.149096393523,18515.054140678923,0.0,457.9003118221153,0.0,0.0,0.0,0.0,5.244143575058465,82.99017293062293,88.65068128998858,16.439123461019026,10.101678874627739,34.82786680121892,156.87226918451415,12.98111765283426,2.371396113541319,0.042399003382725425,0.10759613422089746,0.030880948192338668,0.1416847172801564,16.23131642077574,0.37050562475438964,9.376684527538341,23.628875718885133,0.0,0.23281958730466476,0.0,0.0,0.0,0.0
1466,828.2265589070538,38508.154344407485,69765.01108662308,6072.552388481846,0.0,26639.351128835457,53356.54069896868,17917.96770407391,0.0,0.0,0.0,11.855764354613427,0.0,68734.90649940592,0.0,0.0,0.0,1821.849198781813,89.8078301505904,0.0,0.0,0.0,0.0,0.5288632202921335,38.82550874732072,66.062786678219,4.564083666118965,0.0,20.310732345927025,78.67351362526718,15.932158988954022,0.0,0.0,0.0,0.15175515105077764,0.0,18.972575779774107,0.0,0.0,0.0,0.5173726375243978,0.2388438084906294,0.0,0.0,0.0,0.0
1467,0.0,45509.30539914613,68934.38675855068,0.0,0.0,15511.05677201979,82052.52768316894,16857.261491763154,0.0,20.540861320032533,0.0,12.407736480394446,0.0,52941.252501654235,471.59984547417275,3573.4665897212412,0.0,0.0,734.9625002511356,0.0,0.0,0.0,0.0,0.0,50.93630821971728,48.028401849344895,0.0,0.0,10.373916692588857,54.714528257178614,9.732418918418823,0.0,0.003865711041457694,0.0,0.03311579294824052,0.0,15.721062231003765,0.8825245470491481,3.583357636290566,0.0,0.0,0.5459003374252083,0.0,0.0,0.0,0.0
1468,0.0,16141.360334220462,29718.129653462744,0.0,10783.96466953432,0.0,20546.517559466698,0.0,0.0,26.542395778968178,0.0,0.0,0.0,0.0,0.0,2513.0932732321207,14724.917113064323,0.0,505.4012602798291,0.0,0.0,0.0,0.0,0.0,20.176927974793433,25.630396764890026,0.0,4.476094820266286,0.0,12.849392981220163,0.0,0.0,0.014443474748358333,0.0,0.0,0.0,0.0,0.0,3.9196376762802894,9.68074941459091,0.0,0.5213288104798814,0.0,0.0,0.0,0.0
1469,0.0,49242.37062712783,74726.26100110938,0.0,31025.4263712536,17455.979977628536,95699.53090569383,16269.041667522906,0.0,48.58617884383467,0.0,0.0,113.35379474929671,34277.692280404415,0.0,4292.2402226280055,21287.320536869738,0.0,1799.3185572935754,0.0,0.0,0.0,0.0,0.0,54.074345310739105,54.294442393752966,0.0,33.94651835554935,11.915917393784941,54.49716858870681,11.239104196616955,0.0,0.0231609949973154,0.0,0.0,0.09894184183257586,16.685821231860498,0.0,4.664556857305463,20.394063728983483,0.0,1.2631807543247027,0.0,0.0,0.0,0.0
1470,2853.5509024604535,63316.82340725628,129406.25497324842,13695.332048605353,0.0,95346.59870936723,97194.39918997933,18850.74239266569,970.0320526747591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16859.850068694905,0.0,176.3809487113397,0.0,0.0,0.0,0.0,2.800665479493722,79.71582425006262,91.57762743365352,9.532702450012792,0.0,63.8130786813237,105.36437816658776,25.668643149975026,7.218782512105256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.367270815494436,0.0,0.24274673928863974,0.0,0.0,0.0,0.0
1471,0.0,44875.14797035906,65602.09276858953,0.0,13854.183974795254,16053.870273263052,89574.80606544414,0.0,1169.2003658565986,0.0,0.0,0.0,0.0,63486.96175879829,0.0,4148.82816184576,15255.315807342266,0.0,1346.3010011389024,0.0,0.0,0.0,0.0,0.0,42.54353208938746,61.41092276167655,0.0,7.132260855709994,11.450879753342003,82.84397412629053,0.0,4.151174577074702,0.0,0.0,0.0,0.0,25.32477257780825,0.0,4.369248086064427,24.377454297844817,0.0,0.8106963631817191,0.0,0.0,0.0,0.0
1472,941.6139747857144,29570.750053950316,50393.16517380808,0.0,12748.674657568454,15151.400968624905,157724.74235699442,12158.519989394234,4043.505896459275,17.282408886478265,0.0,0.0,0.0,40113.5859157748,0.0,4755.489680632575,17817.96416664177,0.0,1974.5183663670327,0.0,0.0,0.0,0.0,0.5147176047524341,26.508357358153013,32.496849477457175,0.0,6.766376424299122,14.947792596535932,112.218409399738,8.553432109848963,0.8997780613132289,0.001196669931312536,0.0,0.0,0.0,15.197403308471024,0.0,6.1846975861317475,28.962161496888708,0.0,1.9647548195476967,0.0,0.0,0.0,0.0
1473,0.0,50102.584134631856,76767.8058118185,7866.195266287218,0.0,27763.880414103067,203268.5067929228,9439.783352532044,2954.7244171746675,0.0,0.0,0.0,156.79172014975268,62130.22882896292,0.0,0.0,0.0,0.0,329.75904144207675,0.0,0.0,0.0,0.0,0.0,38.94888240822571,67.64203882697834,5.053176872043134,0.0,17.048200207588515,123.94813470491803,4.520436130334627,1.4652553967774349,0.0,0.0,0.0,0.13785909987291392,15.407650017601304,0.0,0.0,0.0,0.0,0.21021435966303348,0.0,0.0,0.0,0.0
1474,2421.7836013564142,61229.65957669787,81853.67359700696,23190.01550502521,12685.61397791212,50925.901686718586,84134.06524867417,20118.02350048687,1843.855759820553,11.574501259824386,0.0,102.33259459937912,197.26338863814723,55242.45547511514,418.6482802585678,8468.174132044267,0.0,0.0,2179.1701502189144,0.0,0.0,0.0,0.0,2.0995928530480326,44.75422864008944,64.97992026300926,20.68335362685583,25.664585075053054,44.329702488179734,90.90287634789287,12.08150600885567,1.7412719660634084,0.0012592850754708361,0.0,0.12771007322554312,0.2701710156691171,13.529914988348617,0.808759971939344,7.646955728954628,0.0,0.0,2.976342058970133,0.0,0.0,0.0,0.0
