cmp-ds,B.10.71.002-0,B.10.71.002-1,B.10.71.002-2,B.10.71.012-0,B.10.71.012-1,B.10.71.012-2,B.10.71.012-3,B.20.11.102-0,B.20.11.102-1,B.20.11.102-2,B.20.11.102-3,B.20.11.121-0,B.20.11.121-1,B.20.11.121-2,B.20.11.121-3,B.30.11.012-0,B.30.11.012-1,B.30.11.012-2,C.10.11.001a-0,C.10.11.001a-1,C.10.11.001a-2,C.10.11.001a-3,C.10.11.011a-0,C.10.11.011a-1,C.10.11.011a-2,C.10.11.011a-3,C.20.11.001b-0,C.20.11.001b-1,C.20.11.001b-2,C.20.11.001b-3,D.10.14.021-0,D.10.14.021-1,D.20.21.013a-0,D.20.21.013a-1,D.20.21.013a-2,D.20.21.013b-0,D.20.21.013b-1,D.20.21.023a-0,D.20.21.023a-1,D.20.21.023a-2,D.20.21.023b-0,D.20.21.023b-1,D.20.21.023b-2,D.30.31.013b-0,D.30.31.013b-1,D.30.41.011c-0,D.30.41.011c-1,D.30.41.011c-2,D.30.41.032c-0,D.30.41.032c-1,D.30.41.102b-0,D.30.41.102b-1,D.30.52.013b-0,D.30.52.013b-1,D.30.52.013b-2,D.30.67.012b-0,D.40.11.023a-0,D.40.11.023a-1,D.40.11.023a-2,D.40.11.074a-0,D.40.11.074a-1,D.50.11.011a-0,D.50.11.011a-1,D.50.12.023b-0,collapse-0,excessiveRID-0,irreparable-0
4222,4423.68,0.0,0.0,3612.672,737.28,73.72800000000001,0.0,6912.000000000002,2188.8,115.20000000000003,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,5892.664405379647,198.0759701440107,0.0,0.0,3631.8195512030698,1930.2334871522498,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,1762.1741625278066,0.0,0.0,363.0216956772798,0.0,4579.78877444591,0.0,0.0,702.1917582627809,0.0,0.0,1.0,0.0,2723.1547561716366,0.0,0.0,145.6128,1.8432,12.0,4.0,2.0,0.0,0.0,1.0,25719.008470441553,0.0,0.0,188.24922539513847,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4223,4423.68,0.0,0.0,2764.8,1363.968,294.91200000000003,0.0,5414.4000000000015,3571.2000000000007,230.40000000000006,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4838.959488732554,726.2678540480994,0.0,0.0,3542.8873860188733,3746.2480058135525,378.4800028798703,0.0,10.0,2.0,0.0,0.0,1.0,0.0,1849.8637688716733,0.0,0.0,249.6450607852609,0.0,3730.4295922054753,0.0,0.0,603.1702157032521,0.0,0.0,1.0,0.0,1979.956592015914,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,22768.474084979018,0.0,0.0,213.37916543701385,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4224,4423.68,0.0,0.0,4349.952,73.72800000000001,0.0,0.0,9100.800000000003,115.20000000000003,0.0,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4853.2854814095335,0.0,0.0,0.0,4253.406586655967,87.15223230717199,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,1708.094233445267,0.0,0.0,197.37321392705692,0.0,4051.201047126503,0.0,0.0,576.0540356426455,0.0,0.0,1.0,0.0,2340.9274193534893,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,20957.649419868616,0.0,0.0,261.7971129554726,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4225,4423.68,0.0,0.0,2949.12,1253.376,221.18400000000003,0.0,6681.600000000001,2073.6000000000004,460.8000000000001,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,5322.093783809985,305.4980108290854,0.0,0.0,2961.9236588520967,2400.2441722083877,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,2356.85499129808,0.0,0.0,411.39790253155473,0.0,3538.5377197720277,0.0,0.0,587.3451363723284,0.0,0.0,1.0,0.0,2163.6313443513695,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,20443.89133703222,0.0,0.0,195.7547349919681,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4226,4423.68,0.0,0.0,3391.4880000000003,884.736,147.45600000000002,0.0,7257.600000000001,1728.0000000000002,230.40000000000006,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,5498.542860455148,1277.7496334246193,0.0,0.0,3337.9975138457207,1681.6558504936638,84.25008119501321,0.0,10.0,2.0,0.0,0.0,1.0,0.0,1995.2460409387268,0.0,0.0,239.41783426349963,0.0,2835.812286974106,0.0,0.0,640.5422525761128,0.0,0.0,1.0,0.0,2191.27640526762,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,13119.573582066183,0.0,0.0,196.25476239646426,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4227,4423.68,0.0,0.0,4349.952,73.72800000000001,0.0,0.0,9100.800000000003,115.20000000000003,0.0,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,7122.512728749467,0.0,0.0,0.0,5580.768229711657,117.57785408905688,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,2585.6996321925362,0.0,0.0,198.11894734751064,0.0,5759.022006869567,0.0,0.0,445.8675006096371,0.0,0.0,1.0,0.0,1873.6127020236142,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,27914.982727220562,0.0,0.0,182.4166229972321,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4228,4423.68,0.0,0.0,4018.1760000000004,405.504,0.0,0.0,8755.200000000003,460.8000000000001,0.0,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4790.307937795191,0.0,0.0,0.0,5373.677935966549,415.02463607886256,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,1568.2219082158022,0.0,0.0,228.39764626668085,0.0,3688.721776856699,0.0,0.0,648.956529378216,0.0,0.0,1.0,0.0,1874.9607473804847,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,14648.034206542474,0.0,0.0,219.31895203369865,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4229,4423.68,0.0,0.0,2211.84,1474.56,737.2800000000001,0.0,4492.800000000001,3456.000000000001,1267.2000000000003,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,6122.414411339295,770.1271863192325,0.0,0.0,3480.314345846681,2257.1865674328396,359.762599742642,97.56149055149328,8.0,4.0,0.0,0.0,1.0,0.0,1748.9459850322974,0.0,0.0,219.62861056457734,0.0,3663.9265067638908,0.0,0.0,651.139201017537,0.0,0.0,1.0,0.0,1456.2090368807876,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,21591.334379936103,0.0,0.0,259.79642671490524,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4230,4423.68,0.0,0.0,3244.032,958.464,221.18400000000003,0.0,7027.200000000002,1958.4000000000005,230.40000000000006,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4576.876196471113,339.8106950771646,0.0,0.0,2310.4233796422477,1530.6978824845633,115.5496928549008,0.0,10.0,2.0,0.0,0.0,1.0,0.0,2159.471472312138,0.0,0.0,266.3081356911117,0.0,3814.129045436945,0.0,0.0,638.2614816475093,0.0,0.0,1.0,0.0,1951.8939151119384,0.0,0.0,147.456,0.0,12.0,4.0,2.0,0.0,0.0,1.0,14540.674238264823,0.0,0.0,192.47517098630505,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4231,4423.68,0.0,0.0,2727.936,1585.152,110.59200000000001,0.0,5414.4000000000015,3340.8000000000006,460.8000000000001,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,4837.623288206741,346.63677163466366,0.0,0.0,3240.090147330645,2568.2654669287067,178.23431133190172,0.0,10.0,2.0,0.0,0.0,1.0,0.0,2179.243018186117,0.0,0.0,307.8617308161005,0.0,3432.9675131781114,0.0,0.0,491.0227596537247,0.0,0.0,0.0,1.0,1863.4248867071517,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,21012.179426872364,0.0,0.0,203.08305613590136,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4232,4423.68,0.0,0.0,4128.768,294.91200000000003,0.0,0.0,8409.600000000002,806.4000000000002,0.0,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,6333.140029188657,0.0,0.0,0.0,4991.70475175626,615.2795892042728,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,2861.7010731046557,0.0,0.0,347.0176787286011,0.0,3601.4161999577136,0.0,0.0,560.9269143653166,0.0,0.0,0.0,1.0,2017.6427250972931,0.0,0.0,147.456,0.0,16.0,0.0,2.0,0.0,0.0,1.0,28043.765173397394,0.0,0.0,314.5001003081641,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4233,4423.68,0.0,0.0,2949.12,1032.192,442.368,0.0,6220.800000000001,2534.4000000000005,460.8000000000001,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,6043.55521397637,1003.6473867412408,0.0,0.0,3479.6479619234397,1186.6196214623762,358.5319463356433,0.0,10.0,0.0,2.0,0.0,1.0,0.0,1735.8936483911416,0.0,0.0,235.81848071661324,0.0,4672.091772305977,0.0,0.0,663.882028022658,0.0,0.0,1.0,0.0,1926.3233333989642,0.0,0.0,145.6128,1.8432,12.0,4.0,2.0,0.0,0.0,1.0,21261.32651623449,0.0,0.0,190.6775283877597,0.0,1.0,0.0,2.0,1.0,2.0,1.0
4234,4423.68,0.0,0.0,3317.76,921.6,184.32,0.0,7027.200000000002,1382.4000000000003,806.4000000000001,0.0,9216.000000000002,0.0,0.0,0.0,6451.0,0.0,0.0,5361.162977478549,451.48859005885606,0.0,0.0,3652.4683496654393,3117.3457981743677,0.0,0.0,10.0,2.0,0.0,0.0,1.0,0.0,1634.7616179918682,0.0,0.0,304.1808210880915,0.0,4520.318174249911,0.0,0.0,656.0495983812016,0.0,0.0,1.0,0.0,1613.3519263219987,0.0,0.0,147.456,0.0,12.0,4.0,2.0,0.0,0.0,1.0,16425.049601711482,283.02932110197503,0.0,253.04020104375104,0.0,1.0,0.0,2.0,1.0,2.0,1.0
