dv-loss-dmg,COST-B.10.71.002-B.10.71.002,COST-B.10.71.012-B.10.71.012,COST-B.20.11.102-B.20.11.102,COST-B.20.11.121-B.20.11.121,COST-B.30.11.012-B.30.11.012,COST-C.10.11.001a-C.10.11.001a,COST-C.10.11.011a-C.10.11.011a,COST-C.20.11.001b-C.20.11.001b,COST-D.10.14.021-D.10.14.021,COST-D.20.21.013a-D.20.21.013a,COST-D.20.21.013b-D.20.21.013b,COST-D.20.21.023a-D.20.21.023a,COST-D.20.21.023b-D.20.21.023b,COST-D.30.31.013b-D.30.31.013b,COST-D.30.41.011c-D.30.41.011c,COST-D.30.41.032c-D.30.41.032c,COST-D.30.41.102b-D.30.41.102b,COST-D.30.52.013b-D.30.52.013b,COST-D.40.11.023a-D.40.11.023a,COST-D.40.11.074a-D.40.11.074a,COST-D.50.11.011a-D.50.11.011a,COST-D.50.12.023b-D.50.12.023b,TIME-B.10.71.002-B.10.71.002,TIME-B.10.71.012-B.10.71.012,TIME-B.20.11.102-B.20.11.102,TIME-B.20.11.121-B.20.11.121,TIME-B.30.11.012-B.30.11.012,TIME-C.10.11.001a-C.10.11.001a,TIME-C.10.11.011a-C.10.11.011a,TIME-C.20.11.001b-C.20.11.001b,TIME-D.10.14.021-D.10.14.021,TIME-D.20.21.013a-D.20.21.013a,TIME-D.20.21.013b-D.20.21.013b,TIME-D.20.21.023a-D.20.21.023a,TIME-D.20.21.023b-D.20.21.023b,TIME-D.30.31.013b-D.30.31.013b,TIME-D.30.41.011c-D.30.41.011c,TIME-D.30.41.032c-D.30.41.032c,TIME-D.30.41.102b-D.30.41.102b,TIME-D.30.52.013b-D.30.52.013b,TIME-D.40.11.023a-D.40.11.023a,TIME-D.40.11.074a-D.40.11.074a,TIME-D.50.11.011a-D.50.11.011a,TIME-D.50.12.023b-D.50.12.023b
10,0.0,27467.117251132382,55573.56525730259,7596.523535025995,0.0,5550.8171406372385,66148.46076762673,10691.877808665922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.6003901934141,11112.363393202886,0.0,0.0,0.0,0.0,0.0,0.0,27.81768340643425,67.66748267047001,6.651960156259131,0.0,5.276013559061781,58.50818761711135,5.48074142815856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5838785429065395,10.056819675026698,0.0,0.0,0.0,0.0,0.0
11,1085.2839940849994,63985.92964298404,106988.96545500284,5770.498277106639,0.0,27068.748330450508,87939.40921911935,24276.681667959554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9262.414517350771,0.0,33.355860265715805,0.0,0.0,0.0,1.4184945244908276,56.202838980735066,80.39807807991806,3.5505816362729594,0.0,30.454418744577932,74.585087464783,15.324598418443294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.120560387343126,0.0,0.056159587621412946,0.0,0.0,0.0
12,0.0,66660.86841016173,86477.52015747242,0.0,0.0,32395.113757116895,115555.58017098698,18652.228277179227,0.0,0.0,0.0,0.0,0.0,0.0,54.19938286382418,609.8574828928685,0.0,0.0,43.01840069589803,0.0,0.0,0.0,0.0,55.52156286121438,90.99306327062698,0.0,0.0,33.351104500282844,79.72027922706037,15.180940730078515,0.0,0.0,0.0,0.0,0.0,0.0,0.19816248414678916,0.47996620555746095,0.0,0.0,0.09962990087296271,0.0,0.0,0.0
13,0.0,75080.30515056355,84099.25610168529,0.0,4629.097901268168,22610.102535174203,162381.2239808217,15313.171478263492,0.0,1.8578423592220839,0.0,0.0,222.54356404970676,41661.00558632599,0.0,2802.2467660048887,8537.027522237064,0.0,396.10334065823145,0.0,0.0,0.0,0.0,60.04106181759213,76.00050743205861,0.0,20.90293790788126,25.069342984759412,112.94623794751682,8.039315046419171,0.0,0.025337223547705515,0.0,0.0,0.20487380002193709,8.782904683495655,0.0,2.8132955782536664,16.614005257081903,0.0,1.3056526032313163,0.0,0.0,0.0
14,0.0,51293.32511786347,67819.68302915819,0.0,30150.34731017899,30336.61068128014,115126.24229212862,11419.304739716423,1674.6291376549052,14.897395489615784,27.89279660877374,0.0,0.0,63542.349985599874,120.23013790583741,1525.3856855205813,0.0,0.0,2605.64972658338,0.0,0.0,0.0,0.0,53.043790731138316,66.04603886141392,0.0,38.760271493686446,15.797839134119016,107.45712551617865,14.930168710950603,2.0313578525423224,0.015381271020625916,0.06019054504342329,0.0,0.0,14.51259205839253,0.46972226335365863,1.9731482910271516,0.0,0.0,1.0208337461234818,0.0,0.0,0.0
15,0.0,31839.93262251508,50974.96255532593,0.0,2098.5705326311027,13570.717709824907,102874.70052383546,3324.322855552097,4274.347092393125,0.0,0.0,0.0,0.0,0.0,0.0,2214.142059392324,15787.737177897197,0.0,316.79004912459015,0.0,0.0,0.0,0.0,44.0242525861912,53.69711278420048,0.0,5.467686028841471,9.052052598099085,56.65355330267192,4.846083089001388,1.2775375645164957,0.0,0.0,0.0,0.0,0.0,0.0,2.0758499774771444,14.941662471979692,0.0,0.7616655409312851,0.0,0.0,0.0
16,0.0,9547.692933037157,15810.442202932825,0.0,0.0,5255.603317394631,13017.085801850613,6345.172872193995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7391.800294587056,0.0,0.0,0.0,0.0,0.0,0.0,8.522209104491372,9.400578865810816,0.0,0.0,3.0909926205479445,14.005554557481913,7.765285089234933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.412821399917986,0.0,0.0,0.0,0.0,0.0
17,0.0,60826.973949300416,75812.57880203548,0.0,0.0,41521.99832599941,115819.55002115139,17668.53379904764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.011401733912514,51.69198935699114,0.0,0.0,20.93101649282304,104.24746706802024,16.246300817885892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1033.7012336831688,64471.35130165911,94390.94121461992,9001.571121272973,12706.140799140847,36184.546322283975,89919.10551132733,19162.9194810818,0.0,36.660475648987756,0.0,73.74012220068525,227.908587962297,44745.09658443892,0.0,7668.576015089084,17518.07881659539,0.0,2920.6962121855126,0.0,0.0,0.0,0.8069229938909468,63.65926475847211,79.93158670365051,4.696687353290395,26.33085476499992,27.915891101211617,111.16069871013924,17.909922594676278,0.0,0.043467666750783174,0.0,0.06473399222250015,0.04211984392709846,10.14848232661686,0.0,9.265495994581892,28.06951167994677,0.0,2.173796023649696,0.0,0.0,0.0
19,0.0,43374.654299070346,77150.31181043369,0.0,0.0,9204.17022310842,121797.30239609024,34673.65012676237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.1244377639459,56.80601179615711,0.0,0.0,8.405116040506748,68.46137997971279,9.323628818184101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
